Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
"691 Struktur dan bagian struktur, tidak dirinci, dari besi, baja atau aluminium",110.03,148.52,141.35,122.85,70.23,76.03,82.77,109.85,115.35,98.21,99.61,113.3,114.63
693 Produk kawat ( tidak termasuk kabel listrik terisolasi) dan pagar pemanggang,87.41,87.35,99.04,98.7,86.45,99.97,99.17,98.97,95.5,94.39,98.29,92.66,94.89
"694 Paku, sekrup, mur, baut, paku keling dan sejenisnya, dari besi, baja, tembaga atau aluminium",60.66,62.41,93.35,98.14,101.09,93.3,104.94,95.95,92.36,100.11,88.38,160.31,94.37
"697 Peralatan rumah tangga dari logam dasar, tidak dirinci",100.13,80.9,113.5,98.44,95.48,110.27,93.02,91.78,101.93,104.73,93.15,87.71,97.54
"699 Produk logam dasar, tidak dirinci",81.81,90.08,108.18,88.62,85.13,110.97,92.72,101.58,123.01,102.46,112.54,147.25,103.46
"713 Mesin internal pembakaran piston dan bagian-bagiannya, tidak dirinci",103.12,102.83,99.99,98.1,98.03,103.51,100.88,100.29,98.68,102.1,103.78,100.87,100.92
"742 Pompa air, ada atau tdk dilengkapi alat ukur, lift cair; bagian dari pompa dan lift",167.65,122.66,158.93,113.82,77.25,138.77,180.27,119.36,107.95,110.24,123.2,131.53,129.48
"743 Pompa (selain pompa air) udara atau gas lainnya, kompresor dan kipas angin; ventilasi atau penutup daur ulang dilengkapi dengan kipas angin, dilengkapi atau tidak dengan filter; sentrifugal, alat penyaringan atau pemurnian ; dan bagiannya",92.38,95.85,97.15,96.22,96.23,102.17,97.24,96.24,97.21,100.39,100,95.87,97.24
"747 Kran, kran, katup dan alat sejenis untuk pipa, ketel uap, tanki, tong atau sejenisnya, termasuk katup penurun tekanan dan katup termostaik yang dikendalikan",106.93,117.27,103.47,87.58,98.55,90.74,87.37,92.06,82.19,98.08,93.47,92.15,96.48
"748 Poros transmisi (termasuk camshaft atau crankshaffts) dan engkol, bantalan rumah dan poros polos; gigi dan gir, bola atau rol sekrup, kotak gir dan pengubah kecepatan lainnya(termasuk konverter torsi); roda gaya dan puli",88.04,88.34,100.67,116.25,105.41,105.54,107.2,93.54,96.98,111.23,102.45,103.55,101.34
751 Mesin kantor,82.83,40.02,90.42,94.06,103.11,107.83,105.57,100.36,97.75,96.39,101.42,103.47,94.15
"762 Pesawat penerima siaran radio, dikombinasi atau tidak, di pusat yang sama dengan alat rekaman suara atau jam",84.25,85.84,97.58,95.02,94.77,90.59,94.11,100.47,102.46,94.85,91.49,95.18,94.12
771 Mesin pembangkit listrik (selain pembangkit listrik di kelompok 76) dan bagiannya,139.49,50.37,58.83,70.68,60.88,114.6,94.09,52.36,46.39,106.5,114.26,108.12,77.43
"772 Alat listrik untuk berganti atau melindungi sirkuit listrik atau untuk membuat koneksi ke atau pada sirkuit listrik (misalnya switch, relay, sekring, penangkal petir, pembatas tegangan, penekan kenaikan tegangan, colokan dan soket, lampu pegangan dan junct",96.24,85.64,49.58,91.78,89.62,98.34,78.11,104.21,94.16,104.13,99.8,104.02,90.49
"773 Peralatan untuk menyalurkan listrik, tidak dirinci",93.02,90.15,108.31,91.57,120.06,88.21,91.97,94.2,96.37,103.02,98.3,95.19,98.59
"775 Peralatan elektronik atau non-elekronik rumah tangga, tidak dirinci",96.99,97.52,102.72,103.24,100.95,94.31,95.46,103.27,102.77,101.89,87.05,89.07,98.31
"778 Mesin dan peralatan listrik, tidak dirinci",105.33,96.85,99.17,99.69,93.89,103.53,97.64,96.81,98.05,98.44,100.22,99.24,98.9
"781 Mobil dan kendaraan bermotor lainnya yang terutama didesain untuk pengangkutan orang (selain kendaraan bermotor untuk pengangkutan sepuluh orang atau lebih, termasuk pengemudi), termasuk stasiun-wagon dan mobil balap",92.77,89.05,100.14,99.64,97.74,95.62,97.14,97.27,96.19,97.15,103.81,93.64,97.01
782 Kendaraan bermotor untuk pengangkutan barang dan kendaraan bermotor tujuan khusus,99.78,97.71,98.62,96.8,95.29,96.93,95.88,95.59,96.28,99.3,113.9,103.85,98.53
"784 Bagian dan aksesori kendaraan bermotor dari kelompok 722, 781, 782 dan 783",94.62,97.35,98.42,101.01,99.88,104.54,100.44,99.09,101.37,102.87,100.89,103.71,100.32
"785 Sepeda motor (termasuk moped) dan sepeda, bermotor dan tidak bermotor; gerbong yang tidak valid",102.1,97.88,98.77,96.43,95.52,94.72,101.61,98.69,100.09,106.04,96.54,98.03,99.06
"813 Perlengkapan dan peralatan pencahayaan, tidak dirinci",110.79,89.15,66.44,95.64,86.86,95.38,62.24,65.37,65.97,81,91.79,75.86,82.03
"821 Furnitur dan bagiannya; selimut, kasur, barang pembuat kasur, bantal dan barang perabot sejenisnya",97.12,91.64,90.88,95.68,94.86,96.85,94.27,98.09,93.08,95.15,91.77,97.74,94.72
"831 Bagasi, koper, kotak rias, tas eksekutif, tas sekolah, tempat kacamata, tas teropong, tas kamera, tas alat musik, tas pistol, sarung dan wadah semacamnya; tas bepergian, tas makanan atau minuman, tas toilet",96.85,81.92,75.8,92.1,96.48,93.32,96.91,96.87,92.36,92.03,88.85,94.12,91.83
"841 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",87.6,89.61,96.09,87.1,85.74,87.63,88.04,90.71,88.83,101.22,101.53,60.13,88.45
"842 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",90.35,96.91,90.3,109.24,91.34,86.56,89.53,94.66,94.88,93.14,104.2,93.89,94.32
"843 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",97.75,100.34,95.99,93.31,87.57,69.67,102.55,96.49,101.13,99.9,91.52,98.05,95.22
"844 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",93.48,89.45,94.71,95.91,83.98,85.15,85.98,93.05,90.64,84.26,103.68,94.48,91.45
"845 Pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak, tidak dirinci",96.93,88.63,91.82,95.32,96.85,91.3,94.38,96.74,99.76,97.32,95.94,88.94,94.54
"846 Aksesoris pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak (selain untuk bayi)",101.06,108.04,100.31,102.95,105.49,96.42,92.03,98.46,102.12,89.98,101.96,92.82,98.92
848 Artikel dari pakaian dan aksesori pakaian selain dari kain tekstil; tutup kepala dari semua bahan,97.38,93.27,102.38,99.93,98.26,98.04,90.65,98.29,96.44,90.18,91.54,91.98,95.74
851 Alas kaki,97.82,98.34,103.13,102,99.84,100.07,99.95,98.91,102.29,101.52,97.63,96.58,99.79
"872 Instrumen dan peralatan, tidak dirinci, untuk tujuan medis, bedah, perawatan gigi atau kedokteran hewan",106.63,107.02,107.87,98.43,105.06,91.51,98.74,101.84,100.73,103.73,93.3,101.22,101.42
"873 Meter dan counter, tidak dirinci",110.75,130.88,116.9,113.15,101.67,104.57,118.79,107.01,93.4,102.13,107.93,92.23,108.41
"884 Barang-barang optik, tidak dirinci",87.45,92.26,101.14,90.25,98.8,93.64,102.34,100.23,110.15,104.94,85.31,90.13,97.22
"893 Barang dari plastik, tidak dirinci",93.4,107.94,92.23,101.6,90.61,113.28,102.75,87.05,100.82,96.29,89.62,101.57,97.54
"894 Kereta bayi, mainan, game dan barang olahraga",94.6,97.75,101.67,105.16,98.85,95.66,97.71,101.48,99.78,96.92,96.94,104.36,99.27
"895 Persediaan kantor dan alat tulis, tidak dirinci",99.05,93.6,98.83,102.75,102.37,104.41,97.1,104.36,93.3,97.16,103.9,105.63,100.14
"897 Perhiasan, emas dan perak, dan barang lainnya dari bahan mulia atau semi mulia, tidak dirinci",76.33,85.98,89.44,97.36,105.31,123.78,73.99,127.46,145.49,104.16,116.19,19,103.17
"898 Alat musik dan bagian dan perlengkapannya; rekaman, kaset dan suara atau mirip rekaman lainnya (tidak termasuk barang dari kelompok 763 dan 883)",100.97,99.49,95.17,97.08,99.42,94.13,100.24,98.18,102.51,105.01,103.4,168.82,105.23
"899 Aneka macam barang produksi yang terpisah, tidak dirinci",90.08,106.44,121.31,93.72,99.75,105.02,110.42,106.46,90.74,103.34,107.15,101.13,103.21
"971 Emas, non-moneter (tidak termasuk bijih emas dan konsentrat)",89.73,91.8,92.52,94.72,95.01,99.21,99.38,106.34,109.92,105.81,105.65,102.71,101.31
TOTAL EKSPOR,88.96,86.94,94.57,96.45,94.21,91.87,93.05,94.2,97.35,98.88,103.27,102.86,95.48
