Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2017,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
022 Susu dan krim dan produk susu selain mentega atau keju,117.77,103.13,99.73,93.19,95.03,96.98,110.76,104.14,111.31,115.39,133.99,98.47,107.21
"034 Ikan, segar (hidup atau mati), dingin atau beku",92.47,109.01,102.4,100.87,104.93,112.08,109.17,105.65,106.73,100.83,104.31,95.93,103.66
"036 Krustasea, moluska dan invertebrata air, berkulit maupun tidak, segar (hidup atau mati), dingin, beku, kering, asin atau dalam air garam; krustasea, berkulit, dikukus atau direbus, dingin atau tidak , beku, kering, asin atau dalam air garam",96.54,98.24,99.27,103.11,107.95,105.06,106.86,102.83,104.31,102.33,100.69,101.73,102.54
"037 Ikan, krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan, tidak dirinci",84.62,89.93,91.25,90.52,92.2,92.8,93.34,99.58,100.38,101.21,99.37,96.98,94.7
048 Olahan sereal dan olahan tepung atau pati dari buah atau sayuran,103.27,88.01,117.1,121.47,107.68,106.48,107.37,108.22,103.66,102.99,105.9,111.27,106.96
"054 Sayuran, segar, dingin, beku atau hanya diawetkan (termasuk sayuran polongan kering); akar, umbi-umbian dan produk nabati lainnya yang dapat dimakan, tidak dirinci, segar atau kering",102.27,91.14,93.9,107.72,99.31,98.01,94.4,109.72,104.73,93.57,98.91,97.96,100.95
"056 Sayuran, akar dan umbi-umbian, diolah atau diawetkan, tidak dirinci",99.41,92.88,110.71,110.64,125.49,123.65,110.01,103.69,96.75,94.34,96.55,95.9,104.68
"057 Buah dan kacang-kacangan (tidak termasuk kacang minyak), segar atau kering",87.29,91.13,93.77,109.78,111.88,113.21,129.83,133,136.55,141.21,141.59,136.02,121.15
"058 Buah, diawetkan, dan olahan buah (tidak termasuk jus buah)",36.9,36.18,127.2,129.55,134.11,139.76,131.32,130.87,130.39,125.25,123.06,117.8,114.71
"061 Gula, molase dan madu",120.84,93.45,112.1,93.55,126.87,123.5,113.03,126.46,100.98,117.91,87.83,97.49,111.31
062 Gula hias,89.39,94.54,93.8,90.15,95.58,94.95,93.21,97.18,95.93,97.67,99.11,98.78,95.23
072 Kakao,135.55,126.51,113.03,97.39,102.69,93.22,95.56,91.51,90.17,85.64,83.66,88.87,100.91
"073 Coklat dan makanan olahan lainnya yang mengandung kakao, tidak dirinci",87.86,93.4,93.43,88.75,96.34,102.71,98.71,86.14,84.92,93.21,101.01,91.04,93.11
074 Teh dan mate,96.14,98.27,97.89,102.88,101.23,96.17,96.9,96.64,95.84,94.3,98.05,96.63,97.64
075 Bumbu-bumbu,94.88,101.52,91.09,97.79,110.92,121.21,115.93,108.34,118.47,116.39,110.11,102.15,107.05
081 Bahan pakan untuk hewan (tidak termasuk sereal tidak digiling),75.94,74.68,89.6,92.2,81.22,77.2,76.54,79.79,82.8,77.38,86.42,90.33,82.05
091 Margarin dan mentega,105.65,120.61,108.04,118.79,107.85,113.6,107.46,113.89,111.94,118.94,128.21,133.3,115.83
"098 Produk dan olahan yang dapat dimakan, tidak dirinci.",86.72,83.32,86.96,89.49,92.98,104.82,99.31,101.65,103.11,107.87,120.38,122.41,101.02
"111 Minuman non-alkohol, tidak dirinci.",92.07,102.01,102.96,113.17,87.94,97.25,100.19,85.22,88.59,93.1,97.32,100.61,96.62
"122 Tembakau, dipabrikasi (ada atau tidak mengandung pengganti tembakau)",108.87,103.35,88.87,94.39,88.62,92.27,99.27,100.36,98.98,95.27,100.6,97.29,97.28
"231 Karet alam, balata, getah perca, guayule, chicle dan sejenis getah alam, dalam bentuk asal (termasuk lateks) atau pelat, lembaran atau strip",117.52,130.97,141.78,138.89,127.64,115.83,110.38,111.62,114.04,116.94,112.01,113.81,122.61
"232 Karet sintetis; karet reklamasi; limbah, reja dan skrap dari karet yang tidak dikeraskan",119.9,123.72,134.03,132.32,117.83,110.54,109.59,114.37,107.56,116.2,112.63,113.36,117.52
"248 Kayu, dikerjakan sederhana, dan bantalan rel kereta api dari kayu",88.07,91.74,93.33,91.42,85.83,83.17,91.98,90.81,89.4,91.89,95.57,91.72,90.55
251 Bubur dan limbah kertas,75.48,75.78,77.91,81.67,82.38,83.61,81.11,80.78,81.36,83.91,94.17,93.72,83.55
263 Katun,88.12,87.21,86.6,90.49,89.29,128.49,108.8,106.16,122.88,116.56,117.61,172.8,108.72
"273 Batu, pasir dan kerikil",94.51,90.85,90.75,94.72,97.07,99.44,98.95,102.58,104.42,105.4,104.3,104.28,99.3
283 Bijih tembaga dan konsentratnya; Mate tembaga; tembaga semen,81.71,-,51.38,76.61,72.89,74.41,84.68,86.55,94.73,94.82,106.05,134.9,94.9
"288 Limbah logam dasar dan skrap selain besi, tidak dirinci",80.02,79.19,73.86,71.31,60.49,62.11,70.27,69.24,95,90.59,98.59,104.76,80.61
"292 Bahan nabati mentah, tidak dirinci",89.38,94.48,83,85.48,98.49,89.61,83.91,86.57,86.92,100.12,106.86,115.2,94.55
"321 Batubara, ditumbuk atau tidak, tetapi tidak diaglomerasi",88.43,84.64,84.75,89.97,91.06,80.57,80.73,82.38,89.37,93.43,95.36,101.96,89.05
"322 Briket, lignit dan gambut",89.29,85.42,81.88,84.9,104.17,91.69,83.52,85.9,99.9,105.5,119.42,120.16,97.12
"333 Minyak petroleum dan minyak yang diperoleh dari mineral mengandung bitumen, mentah",82.47,84.87,88.41,77.86,70.97,71.88,68.44,68.77,66.84,66.93,90.29,107.26,79.62
"343 Gas alam, cair atau tidak",92.55,91.66,82.87,93.23,85.36,83.02,78.49,72.12,73.56,72.99,69.43,69.84,79.99
"422 Lemak dan minyak nabati tertentu, minyak mentah, halus atau difraksinasi, selain lunak",77.74,77.32,112.42,108.72,105.55,107.67,109.74,112.45,118.38,126.31,136.25,137.47,110.49
"431 Lemak dan minyak hewani atau nabati, diproses; lilin; campuran atau olahan dari lemak atau minyak hewani atau nabati tidak dapat dimakan, tidak dirinci",103.8,103.13,113.73,111.32,116.06,114.12,106.44,108.38,111.31,122.35,124.51,126.48,113.16
"511 Hidrokarbon, tidak dirinci, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",95,99.64,108.89,109.27,93.32,85.78,81.67,81.74,98.78,91.84,103.25,107.92,97.11
"512 Alkohol, fenol, fenol-alkohol, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",80.98,85.77,113.33,109.19,109.61,110.82,115.92,112.15,118.8,130.66,143.15,144.93,115.12
"513 Asam karboksilat dan anhidrida, halida, peroksida dan asam peroksinya; halogenasi, sulfonasi, nitrasi atau turunan nitrosasi",73.48,87.58,128.19,102.63,84.04,83.05,85.6,78.41,83.24,89.43,102.14,95.2,90.99
514 Fungsi senyawa nitrogen,93.35,95.4,96.86,95.68,97.97,104.67,106.84,105.5,110.87,113.75,112.55,113.55,103.93
"515 Senyawa organo-anorganik, senyawa heterosiklik, asam nukleat dan garamnya, dan sulfonamid",139.81,129.49,125.92,102.52,114.99,130.6,138.09,140.96,144.54,158.7,157.33,122.42,135.37
"522 Unsur kimia anorganik, oksida dan garam halogen",73.22,81.17,95.17,109.42,108.93,85.05,81.05,80.35,75.22,81.49,79.32,113.58,91.14
"523 Garam dan garam peroksi, asam anorganik dan logam",90.09,82,90.21,90.71,86.96,89.43,77.31,87.93,86.01,81.43,88.56,107.7,88
"531 Bahan pewarna dan sejenisnya sintetis organik, dan olahan daripadanya",79.95,92.07,90.3,96.55,97.65,101.21,102.26,92.62,101.28,92.57,91.41,82.87,93.79
"533 Pigmen, cat, pernis dan bahan terkait",97.88,101.38,88.58,95.22,101.02,100.83,107.47,101.4,101.65,93.3,90.36,95.06,97.97
"553 Wewangian, kosmetik atau persediaan untuk toilet (tidak termasuk sabun)",94.72,103.25,100.24,111.32,109.79,123.24,104.72,120.16,97.13,102.16,97.1,110.99,106.14
"554 Sabun, pembersih dan alat untuk pembersih",101,107.8,103.32,102.32,99.83,94.61,96.32,101.54,119.09,102.96,115.6,104.72,104.35
562 Pupuk (selain yang dari kelompok 272),229.64,81.25,94.13,82.14,72,89.16,85.3,86.69,85.8,75.94,83.11,83.47,103.23
"574 Poliasetal, polieter lainnya dan resin epoksida, dalam bentuk asal; polikarbonat, resin alkid, ester polialil dan poliester lainnya, dalam bentuk asal",87.71,91.58,93.54,89.65,88.63,85.75,80.85,84.56,83.85,84.27,86.73,92.32,87.63
"575 Plastik lainnya, dalam bentuk asal",95.99,95.03,91.41,100.38,99.75,94.7,101.66,101.63,95.65,94.68,93,105.97,97.5
"582 Pelat, lembaran, film, foil dan strip, dari plastik",72.38,74.77,95.85,100.54,99.37,99.12,97.3,96.14,94.38,94.19,94.12,95.92,93
"583 Monofilamen yang ukuran penampang melebihi 1 mm, batang, tongkat dan bentuk profil, permukaan dikerjakan maupun tidak dikerjakan, dari plastik",135.85,128.42,84.26,90.47,92.46,89.46,93.68,94.2,94.09,92.12,97.73,89.52,96.44
"591 Insektisida, redontisida, fungisida, herbisida, produk anti-berkecambah dan pengatur pertumbuhan tanaman, desinfektan dan produk semacamnya, disiapkan dalam bentuk atau kemasan untuk penjualan eceran atau sebagai alat atau barang (misalnya, kelompok sulfur, sumbu",86.12,73.64,99.35,54.45,83.78,99.68,72.26,92.75,111.11,73.06,67.94,131.72,86.66
"592 Zat tepung (pati/kanji), inulin dan zat gandum; zat albumin; zat perekat",95.99,31.19,87.61,95.76,91.65,83.75,86.85,90.68,85.46,94.44,85.54,91.4,85.28
"598 Macam-macam produk kimia, tidak dirinci",94.22,74.93,77.6,103.72,59.19,100.81,97.56,52.38,88.69,98.63,67.7,109.46,86.39
611 Kulit,102.77,97.75,86.54,95.12,93.64,94.63,94.56,94.48,103.58,104.41,106.43,97.98,97.54
"625 Ban karet, tapak ban dipertukarkan, penutup ban dan ban dalam untuk roda dari semua jenis",98.28,98.33,98.38,97.01,98.14,100.53,98.9,96.46,86.17,99.19,100.29,100.9,97.73
"629 Barang dari karet, tidak dirinci",99.57,88.86,111.46,92.25,103.07,91.6,96.58,98.14,98.73,98.89,88.41,105.71,98.02
"634 Veneer, kayu lapis, papan partikel, dan kayu lainnya, bekerja, tidak dirinci",92.5,94.44,91.42,89.65,87.66,87.01,88.27,88.45,87.98,90.31,94.9,95.56,90.8
"635 Produsen kayu, tidak dirinci",99.32,101.84,100.02,99.04,99.52,101.69,102.38,100.86,99.74,98.39,100.13,95.15,99.82
641 Kertas dan kertas karton,80.25,77.78,82.51,82.95,84.84,90.66,89.5,90.58,94.22,95.33,98.45,102.51,89.61
"642 Kertas dan kertas karton, dipotong menurut ukuran atau bentuk, dan barang dari kertas atau kertas karton",86.8,85.99,97.07,96.07,96.49,96.43,93.03,95.22,92.64,91.83,95.03,94.77,93.66
651 Benang tekstil,93.91,93.3,94.41,93.95,92.13,90.11,88.22,89.42,90.01,89.83,92.37,96.03,91.93
"652 Kain katun, tenun (tidak termasuk kain sempit atau khusus)",102.24,96.36,98.26,95.68,98.73,94.84,95.81,92.53,97.19,88.01,92.77,94.51,95.64
"653 Kain, anyaman, dari bahan tekstil buatan manusia (tidak termasuk kain sempit atau khusus)",98.45,84.09,98.03,98.95,96.15,97.73,94.26,100.89,97.96,102.22,99.74,101.58,97.41
"655 Kain rajutan atau kaitan (termasuk tabung kain rajutan, tidak dirinci, kain berbulu dan kain kerawang), tidak dirinci",100.21,85.76,92.42,105.39,93.44,101.65,93.18,111.63,89.77,98.93,99.07,102.52,98.15
"656 Kain tulle, renda, bordir, pita, hiasan dan barang lainnya",94.01,106.84,111.89,97.63,90.94,94.93,110.04,101.48,110.62,101.06,116.73,79.93,101.69
"657 Benang khusus, kain tekstil khusus dan produk-produk terkait",101.38,104.47,100.11,103.12,101.08,103.45,82.38,99.17,97.69,94.18,99.33,97.88,98.53
"658 Barang yang dibuat, seluruhnya atau terutama dari bahan tekstil, tidak dirinci",70.43,94.66,94.25,95.81,90.21,91.25,92.23,95.61,102.77,98.67,98.54,92.04,93.2
"659 Penutup lantai, dll",104.2,97.85,108.69,102.13,101.32,118.25,117.51,109.64,98.93,104.17,99.92,104.04,104.99
"661 Kapur, semen, dan konstruksi fabrikasi bahan (kecuali bahan kaca dan tanah liat)",117.55,114.11,124.53,87.55,86.78,93.99,88.07,90.81,95.49,96.76,92.6,96.28,96.62
662 Bahan konstruksi dari tanah liat dan bahan konstruksi tahan api,81.95,80.36,96.87,95.88,101.3,83.68,100.84,97.27,103.27,99.92,96.96,94.12,95.04
"663 Produsen mineral, tidak dirinci",95.87,96.19,91.22,102.1,97.17,112.61,97.12,105.82,100.85,97.96,105.98,88.57,98.94
664 Kaca,102.71,95.36,97.72,104.41,99.01,100.26,98.52,101.87,97.64,96.07,100.74,96.23,99.28
665 Barang pecah belah,85.63,89.03,105.63,95.45,99.41,103.38,103.74,100.2,104.35,103.41,93.92,92.11,98.02
675 Produk gulungan datar dari baja campuran,31.24,23.74,27.62,29.04,43.94,53.51,54.46,55.77,89.24,97.21,94.29,103.34,88.02
"676 Jeruji besi dan baja, batang, ujung, bentuk dan bagian (termasuk lapisan tiang pancang)",84.78,84.83,82.3,83.61,69.73,57.8,75.34,75.44,77.54,77.33,94.09,87.71,78.4
678 Kawat dari besi atau baja,63.8,62.98,89.65,85.71,90.71,92.22,92.29,90.85,93.13,92.91,96.27,98.11,87.9
682 Tembaga,82.08,83.23,83.98,84.3,82.36,81.81,89.01,103.63,110.44,109.04,109.28,109.96,96.04
684 Aluminium,87.44,86.97,86.38,88.73,91.98,92.16,93.83,91.05,96.45,103.17,102.96,101.58,94.38
