Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2015,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
022 Susu dan krim dan produk susu selain mentega atau keju,110.5,113.99,123.53,105.02,102.75,123.84,123.81,111.37,105.9,99.74,106.68,110.24,111.5
"034 Ikan, segar (hidup atau mati), dingin atau beku",80.21,88.76,106.12,87.89,94.27,90.1,96.18,91.94,88.67,92.3,98.57,91.36,92.37
"036 Krustasea, moluska dan invertebrata air, berkulit maupun tidak, segar (hidup atau mati), dingin, beku, kering, asin atau dalam air garam; krustasea, berkulit, dikukus atau direbus, dingin atau tidak , beku, kering, asin atau dalam air garam",96.41,92.56,97.93,94.3,97.01,92.64,92.55,87.96,85.93,86.2,85.1,84.22,91.1
"037 Ikan, krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan, tidak dirinci",84.1,84.67,91.16,84.17,79.8,77.27,73.89,76.52,77.92,81.56,79.2,72.47,80.46
048 Olahan sereal dan olahan tepung atau pati dari buah atau sayuran,111.65,117.1,119.76,125.53,120.21,111.1,117.13,119.82,116.15,113.56,110.98,124.6,117.19
"054 Sayuran, segar, dingin, beku atau hanya diawetkan (termasuk sayuran polongan kering); akar, umbi-umbian dan produk nabati lainnya yang dapat dimakan, tidak dirinci, segar atau kering",90.68,89.44,84.47,92.23,89.16,29.31,73.89,82.96,86.49,93.81,95.52,90.71,80.48
"056 Sayuran, akar dan umbi-umbian, diolah atau diawetkan, tidak dirinci",73.76,71.98,88.64,91.93,94.84,95.89,78.51,69.21,67.07,79.78,84.46,79.92,81.9
"057 Buah dan kacang-kacangan (tidak termasuk kacang minyak), segar atau kering",71.68,78.44,79.84,89.21,89.73,94.2,100.23,101.29,107.28,79.15,105.3,98.98,90.34
"058 Buah, diawetkan, dan olahan buah (tidak termasuk jus buah)",33.47,28.74,33.58,35.16,35.6,37.72,42.73,36.24,37.04,37.67,40.39,48.32,37.11
"061 Gula, molase dan madu",100.86,110.68,229.93,103.16,96.19,110.53,109.75,124.1,109.36,114.33,112.08,123.44,117.62
062 Gula hias,99.3,100.78,101.03,98.05,97.78,99.08,101.8,96.22,102.24,99.37,40.9,97.91,93.58
072 Kakao,137.5,130.13,134.01,125.32,125.64,121.54,119.83,120.71,118.79,116.63,113.26,121.98,123.43
"073 Coklat dan makanan olahan lainnya yang mengandung kakao, tidak dirinci",105.96,107.11,104.41,95.54,104.44,94.27,87.25,83.31,87.45,85.26,95.14,86.03,95.33
074 Teh dan mate,86.33,91.89,88.18,96.39,92.52,89.22,94.2,90.75,90.48,87.63,93.56,92.06,90.85
075 Bumbu-bumbu,114.83,117.53,101.86,104.34,110.09,105.74,138.06,166.39,155.47,128.26,114.49,97.07,130
081 Bahan pakan untuk hewan (tidak termasuk sereal tidak digiling),72.68,94.72,75.88,76.49,70.06,76.33,71.01,58.53,77.8,46.7,61.43,64.29,70.14
091 Margarin dan mentega,93.3,104.34,90.92,104.22,93.99,107.3,96.59,95.75,94.08,89,95.57,103.02,97.24
"098 Produk dan olahan yang dapat dimakan, tidak dirinci.",83.42,84.16,81.34,86.57,84.14,93.3,105.08,90.81,81.37,92.37,93.41,96.71,89.19
"111 Minuman non-alkohol, tidak dirinci.",100.86,110.49,104.58,114.92,88.14,100.79,100.15,97.54,94.44,135.18,112.45,100.81,105.31
"122 Tembakau, dipabrikasi (ada atau tidak mengandung pengganti tembakau)",106.79,100.26,93.27,101.05,96.21,97.62,101.25,98.9,97.01,99.75,102.42,98.41,99.35
"231 Karet alam, balata, getah perca, guayule, chicle dan sejenis getah alam, dalam bentuk asal (termasuk lateks) atau pelat, lembaran atau strip",101.32,96.36,95.93,97.62,100.08,104.97,109.28,108.54,102.51,96.74,94.23,92.91,100.56
"232 Karet sintetis; karet reklamasi; limbah, reja dan skrap dari karet yang tidak dikeraskan",45.21,79.62,51.04,42.88,84.4,78.4,82.92,99.78,91.74,94.31,91.71,91.94,84.43
"248 Kayu, dikerjakan sederhana, dan bantalan rel kereta api dari kayu",107.41,107.6,104.72,96.18,92.28,90.87,97.98,95.55,90.67,92.29,94.3,89.72,96.14
251 Bubur dan limbah kertas,82.39,80.32,80.22,83.15,82.39,84.07,82.58,80.26,78.77,79.06,82.7,90.43,82.09
263 Katun,76.8,77.71,78.79,74.63,68.29,132.17,86.88,86.4,130.57,91.96,115.56,111.05,99.68
"273 Batu, pasir dan kerikil",110.59,113.35,109.36,111.12,116.69,121.23,117.64,116.5,119.53,123.32,113.34,114.16,115.36
283 Bijih tembaga dan konsentratnya; Mate tembaga; tembaga semen,78.11,55.7,68.39,75.73,80.71,76.98,78.99,78.93,69.37,59.52,71.78,86.97,76.62
"288 Limbah logam dasar dan skrap selain besi, tidak dirinci",83.27,79.15,74.79,71.27,61.89,58.47,64.79,59.74,71.92,70.87,66.22,70.32,68.97
"292 Bahan nabati mentah, tidak dirinci",112.06,95.85,95.26,96.13,98.98,87.17,93.11,90.84,83.37,76.6,85.07,85.18,91.67
"321 Batubara, ditumbuk atau tidak, tetapi tidak diaglomerasi",76.49,73.94,73.87,75.93,74.5,69.3,64.77,64.74,62.9,61.98,61.94,63.87,69.21
"322 Briket, lignit dan gambut",96.13,92.88,87.74,86.37,84.76,82.49,80.14,71.95,87.19,79.6,77.15,86.57,85.01
"333 Minyak petroleum dan minyak yang diperoleh dari mineral mengandung bitumen, mentah",131.29,134.79,117.7,68.76,66.39,69.06,79.42,80.53,70.5,64.14,79.3,87.83,89.15
