Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
022 Susu dan krim dan produk susu selain mentega atau keju,99.72,102.18,98.25,79.14,74.82,92.22,88.43,96.86,99.87,92.67,93.66,87.08,92.08
"034 Ikan, segar (hidup atau mati), dingin atau beku",102.51,107.18,111.33,111.18,109.65,117.55,115.05,116.17,112.86,115.29,114.23,104.89,111.82
"036 Krustasea, moluska dan invertebrata air, berkulit maupun tidak, segar (hidup atau mati), dingin, beku, kering, asin atau dalam air garam; krustasea, berkulit, dikukus atau direbus, dingin atau tidak , beku, kering, asin atau dalam air garam",107.34,105.41,111.35,117.52,120.55,120.6,114.09,112.09,112.89,107.74,105.12,107.31,111.7
"037 Ikan, krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan, tidak dirinci",107.66,114.13,121.58,109.12,105.82,103.65,95.52,101.34,101.52,101.83,98.47,95.28,105.57
048 Olahan sereal dan olahan tepung atau pati dari buah atau sayuran,93.91,99.09,107.84,109.04,104.54,95.53,109.25,109.28,113.78,98.28,110.5,103.24,104.9
"054 Sayuran, segar, dingin, beku atau hanya diawetkan (termasuk sayuran polongan kering); akar, umbi-umbian dan produk nabati lainnya yang dapat dimakan, tidak dirinci, segar atau kering",100.94,89.41,91.75,102.5,84.61,91.88,102.39,125.82,126.15,125.51,115.51,99.88,112.42
"056 Sayuran, akar dan umbi-umbian, diolah atau diawetkan, tidak dirinci",108.09,114.16,114.61,134.61,137.45,154.05,125.65,107.44,106.47,102.63,99.89,93.14,117.01
"057 Buah dan kacang-kacangan (tidak termasuk kacang minyak), segar atau kering",100.64,99.48,95.57,101.27,100.09,96.49,100.74,388.39,211.11,175.35,92.65,83.9,173.34
"058 Buah, diawetkan, dan olahan buah (tidak termasuk jus buah)",119.7,121.58,127.08,130.45,136.92,143.1,141.82,144.89,141.47,144.3,147.07,140.33,136.71
"061 Gula, molase dan madu",133.71,91.51,118.59,120.36,140.71,139.86,131.39,126.72,145.97,139.07,133.74,151.62,133
062 Gula hias,107.9,103.95,105.04,101.26,104.13,108.44,104.23,110.3,112.35,120.13,113.44,112.39,109.19
072 Kakao,106.72,111.34,110.72,99.69,108.72,97.89,98.87,98.65,95.75,95.05,93.36,97.42,100.73
"073 Coklat dan makanan olahan lainnya yang mengandung kakao, tidak dirinci",84.8,97.09,108.92,87.15,96.99,98.12,107.13,104.02,113.82,93.76,106.46,90.52,98.49
074 Teh dan mate,98.3,99.44,100.24,109.73,115.63,96.19,101.24,100.22,104.05,98.99,90.24,87.97,100.19
075 Bumbu-bumbu,112.56,113.14,119.76,114.3,132.21,143.88,129.58,133.6,124.3,141.09,130.46,118.81,125.54
081 Bahan pakan untuk hewan (tidak termasuk sereal tidak digiling),199,188.41,165.54,168,186.52,190.9,156.06,138.22,117.94,114.84,123.41,132.31,151.58
091 Margarin dan mentega,153.74,159.65,161.97,188.91,202.04,209.03,197.53,178.27,159.43,154.53,157.16,159.26,174.23
"098 Produk dan olahan yang dapat dimakan, tidak dirinci.",133.57,113.33,117.73,118.32,110.09,123.75,137.65,117.86,119.49,127.83,126.35,118.29,122.25
"111 Minuman non-alkohol, tidak dirinci.",78.04,89.4,88.01,88.74,77.12,90.7,74.66,79.91,87.17,87.01,84.78,85.9,84.09
"122 Tembakau, dipabrikasi (ada atau tidak mengandung pengganti tembakau)",98.16,90.97,87.07,86.02,81.43,89.45,92.68,89.04,95.92,87.8,89.17,97.37,90.52
"231 Karet alam, balata, getah perca, guayule, chicle dan sejenis getah alam, dalam bentuk asal (termasuk lateks) atau pelat, lembaran atau strip",123.04,122.35,123.9,126.1,129.2,126.78,127.26,128.87,125.59,118.47,110.83,109.97,123.79
"232 Karet sintetis; karet reklamasi; limbah, reja dan skrap dari karet yang tidak dikeraskan",104.95,109.66,116.86,115.39,112.75,113.19,107.27,115.71,93.37,105.52,93.25,97.13,106.37
"248 Kayu, dikerjakan sederhana, dan bantalan rel kereta api dari kayu",111.39,113.03,112.55,110.5,112.37,104.68,104.85,98.32,101.65,97.71,94.49,95.65,105.39
251 Bubur dan limbah kertas,86.52,87.83,88.43,91.15,97.62,102.33,106.02,107.39,105.86,102.64,107.3,106.83,100.17
263 Katun,87.41,99.68,102.1,114.01,115.55,115.69,113.63,122.83,147.67,138.83,129.41,152.89,117.7
"273 Batu, pasir dan kerikil",101.83,101.83,97.58,103.13,107.33,108.95,107.21,113.91,112.55,107.93,107.44,113.47,106.45
283 Bijih tembaga dan konsentratnya; Mate tembaga; tembaga semen,101.11,93.95,110.05,125.19,121.21,119.17,124.81,115.23,113.21,109.21,116.47,136.17,116.34
"288 Limbah logam dasar dan skrap selain besi, tidak dirinci",146.99,151.18,138.34,147.76,111.89,105.17,99.8,99.49,120.26,109.25,121.59,143.34,125.53
"292 Bahan nabati mentah, tidak dirinci",134.39,129.27,127.28,137.82,151.1,151.62,157.37,164.37,149.71,153.32,144.11,142.15,146.41
"321 Batubara, ditumbuk atau tidak, tetapi tidak diaglomerasi",166.84,180.31,189.59,255.67,245.04,235.48,232.47,219.88,215.6,239.62,246.55,251.11,228.92
"322 Briket, lignit dan gambut",156.27,149.06,167.63,210.96,199.01,188.85,177.3,163.55,189.82,211.26,221.8,239.77,196.1
"333 Minyak petroleum dan minyak yang diperoleh dari mineral mengandung bitumen, mentah",145.33,164.27,195.68,167.06,93.2,174.4,170.6,163.02,132.32,125.8,154.22,157.95,155.24
"343 Gas alam, cair atau tidak",140.3,150.36,152.45,152.38,143.24,148.51,136,159.66,133,133.95,122.8,124.71,141.5
"422 Lemak dan minyak nabati tertentu, minyak mentah, halus atau difraksinasi, selain lunak",186.75,194.57,208.11,228.96,199.43,241.13,209.79,175.99,164.17,150.79,158.56,170.59,190.07
"431 Lemak dan minyak hewani atau nabati, diproses; lilin; campuran atau olahan dari lemak atau minyak hewani atau nabati tidak dapat dimakan, tidak dirinci",139.25,149.25,125.19,142.1,141.39,165.76,150.42,150.08,140.3,185.05,152.11,151.26,150.34
"511 Hidrokarbon, tidak dirinci, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",166.37,157.87,166.63,199.37,157.4,113.97,86.54,93.26,160.85,77.2,85.08,85.12,145.73
"512 Alkohol, fenol, fenol-alkohol, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",145.06,155.57,174.17,188.26,200.81,207.53,193.08,149.28,138.21,133.48,132.22,129.58,165.83
"513 Asam karboksilat dan anhidrida, halida, peroksida dan asam peroksinya; halogenasi, sulfonasi, nitrasi atau turunan nitrosasi",125.25,140.85,156.98,160.37,148.81,160.44,132.9,122.78,107.59,116.4,108.9,105.78,134.89
514 Fungsi senyawa nitrogen,135.47,123.13,117.1,124.47,129.35,130.25,137.94,125.06,123.28,132.77,127.23,125.49,127.42
"515 Senyawa organo-anorganik, senyawa heterosiklik, asam nukleat dan garamnya, dan sulfonamid",126.84,125.2,121.68,91.23,102.22,112.53,116.02,122.77,124.85,130.97,127.65,133.9,120
"522 Unsur kimia anorganik, oksida dan garam halogen",231.5,237.04,248.08,277.85,297.55,282.55,271.67,254.61,234.87,227.55,224.72,245.6,255.05
"523 Garam dan garam peroksi, asam anorganik dan logam",106.91,103.25,114.92,118.97,156.76,129.87,115.88,118.26,118.15,112.2,121.9,120.67,120.58
"531 Bahan pewarna dan sejenisnya sintetis organik, dan olahan daripadanya",87.75,102.96,101.32,106.64,106.39,109.96,114.95,121.49,121.56,107.86,96.22,102.84,106.39
"533 Pigmen, cat, pernis dan bahan terkait",97.77,93.75,97.09,99.32,103.23,88.9,88.64,93.75,90.48,74.53,84.65,89.35,91.83
"553 Wewangian, kosmetik atau persediaan untuk toilet (tidak termasuk sabun)",90.83,87.06,102.91,120.66,98.96,115.21,95.65,119.43,97.49,86.67,76.94,94.78,99.52
"554 Sabun, pembersih dan alat untuk pembersih",118.12,123.8,133.58,132.05,149.71,126.64,127.34,124.55,143.5,118.19,133.39,131.07,130.02
