Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
562 Pupuk (selain yang dari kelompok 272),142.76,227.03,201.72,214.22,244.12,277.42,220.74,203.04,184.45,207.69,211.6,179.29,218.8
"574 Poliasetal, polieter lainnya dan resin epoksida, dalam bentuk asal; polikarbonat, resin alkid, ester polialil dan poliester lainnya, dalam bentuk asal",98.3,108.84,109.52,110.21,110.19,113.02,105.74,101.91,100.79,94.45,95.49,91.91,103.87
"575 Plastik lainnya, dalam bentuk asal",113.01,109.37,109.85,112.05,108.5,109.88,114.41,122.19,107.46,89.83,100.17,122.57,109.68
"582 Pelat, lembaran, film, foil dan strip, dari plastik",105.8,104.11,100.39,100.01,102.04,100.61,103.26,101.22,96.17,92.46,93.75,93.99,99.71
"583 Monofilamen yang ukuran penampang melebihi 1 mm, batang, tongkat dan bentuk profil, permukaan dikerjakan maupun tidak dikerjakan, dari plastik",106.67,101.29,102.82,100.58,101.47,104.35,124.43,105.76,105.61,100.79,102.97,98.56,104.88
"591 Insektisida, redontisida, fungisida, herbisida, produk anti-berkecambah dan pengatur pertumbuhan tanaman, desinfektan dan produk semacamnya, disiapkan dalam bentuk atau kemasan untuk penjualan eceran atau sebagai alat atau barang (misalnya, kelompok sulfur, sumbu",124.94,117.42,161.12,186.59,156.46,193.82,193.24,213.55,352.8,116.57,110.37,176.08,179.26
"592 Zat tepung (pati/kanji), inulin dan zat gandum; zat albumin; zat perekat",117.56,114.22,132.05,118.91,126.46,108.9,124.45,113.41,121.16,126.96,120.69,129.18,121.75
"598 Macam-macam produk kimia, tidak dirinci",135.74,147.2,177.86,169.44,181.83,195.77,195.57,175.72,171.79,153.34,168.6,177.21,172.72
611 Kulit,111.73,105.46,95.61,101.9,94.28,104.13,91.74,96.79,108.29,100.81,107.85,110.79,102.45
"625 Ban karet, tapak ban dipertukarkan, penutup ban dan ban dalam untuk roda dari semua jenis",112.37,117.32,118.64,120.83,121.84,125.81,124.32,127.08,128.01,127.77,133.84,132.1,123.97
"629 Barang dari karet, tidak dirinci",86.89,87.01,83.11,79.85,98.12,79.22,62.44,92.85,89.49,90.54,79.96,79.57,84.02
"634 Veneer, kayu lapis, papan partikel, dan kayu lainnya, bekerja, tidak dirinci",113.16,119.31,112.75,111.14,112.83,109.66,109.09,110.56,105.01,103.4,98.66,100.61,109.76
"635 Produsen kayu, tidak dirinci",103.3,106.27,103.73,101.03,101.3,106.07,104.49,99.57,103.64,106.36,95.62,98.22,102.58
641 Kertas dan kertas karton,90.72,89.88,93.26,96.05,97.72,108.32,107.38,106.31,106.15,106.13,105.88,109.24,101.9
"642 Kertas dan kertas karton, dipotong menurut ukuran atau bentuk, dan barang dari kertas atau kertas karton",110.08,105.08,106.57,105.98,107.76,107.61,110.55,108.27,106.84,103.78,110.71,109.08,107.79
651 Benang tekstil,122.12,118.96,119.85,121.15,117.89,116.51,113.61,108.62,103.39,98.7,95.53,94.84,113.34
"652 Kain katun, tenun (tidak termasuk kain sempit atau khusus)",120.1,116.2,116.57,124.24,106.64,107.13,117.21,111.2,113.15,127.98,102.85,148,117.76
"653 Kain, anyaman, dari bahan tekstil buatan manusia (tidak termasuk kain sempit atau khusus)",105.36,105.51,106.69,108.44,106.84,106.88,107.63,112.13,108.59,117.57,114.83,112.58,109.61
"655 Kain rajutan atau kaitan (termasuk tabung kain rajutan, tidak dirinci, kain berbulu dan kain kerawang), tidak dirinci",108.81,106.25,96.63,105.54,101.86,129.13,116.04,99.49,102.83,111.58,96.32,103.05,106.99
"656 Kain tulle, renda, bordir, pita, hiasan dan barang lainnya",107.86,133.59,131.26,144.57,115.62,106.95,161.06,163.21,112.59,113.15,132.78,55.37,122.13
"657 Benang khusus, kain tekstil khusus dan produk-produk terkait",107.25,108.3,109.01,105.99,110.86,108.7,108.97,105.27,107.23,106.39,103.47,105.91,107.34
"658 Barang yang dibuat, seluruhnya atau terutama dari bahan tekstil, tidak dirinci",69.35,81.59,102.87,117.96,110.36,105.89,108.72,112.71,110.82,102.4,94.39,101.3,101.15
"659 Penutup lantai, dll",89.83,86.94,96.72,101.41,104.81,102.82,105.66,108.92,96.11,107.99,100.55,104.34,100.57
"661 Kapur, semen, dan konstruksi fabrikasi bahan (kecuali bahan kaca dan tanah liat)",111.87,122.12,119.38,112.81,112.07,114.4,113.42,120.24,114.69,131.53,122.35,115.65,117.39
662 Bahan konstruksi dari tanah liat dan bahan konstruksi tahan api,90.48,99.53,86.27,100.37,99.7,78.46,392.28,93,99.13,96.34,113.99,101.22,114.25
"663 Produsen mineral, tidak dirinci",101.03,94.22,99.87,107.12,111.26,131.09,112.51,128.48,110.87,106.36,113.22,102.4,109.87
664 Kaca,119.48,110.18,109.29,115.08,116.89,115.95,112.15,116,111.75,116.76,114.4,114.54,114.35
665 Barang pecah belah,115.39,111.26,125.47,117.02,119.99,120.68,118.82,119.82,115.25,129.91,112.33,109.12,118.07
675 Produk gulungan datar dari baja campuran,155.01,157.95,152.4,163.63,177.79,161.95,135.47,122.33,120.34,117.94,119.62,129.57,144.79
"676 Jeruji besi dan baja, batang, ujung, bentuk dan bagian (termasuk lapisan tiang pancang)",116.07,120.89,85.09,116.63,119.9,97.01,102.16,89.55,65.99,81.76,83.14,32.53,96.28
678 Kawat dari besi atau baja,124.84,130.4,124.64,131.18,131.4,126.8,117.6,114.09,109.99,118.8,121.38,109.86,122.04
682 Tembaga,138.35,139.03,145.19,149.96,139.08,135.37,120.53,129.42,130.75,124.32,124.41,131.54,135.05
684 Aluminium,123.52,130.28,135.75,180.37,139.14,137.3,133.44,132.11,123.36,121.47,126.98,120.54,138.04
"691 Struktur dan bagian struktur, tidak dirinci, dari besi, baja atau aluminium",81.64,122.58,130.67,157.19,49.01,86.18,73.5,89.6,98.49,93.06,82.35,293.53,107.27
693 Produk kawat ( tidak termasuk kabel listrik terisolasi) dan pagar pemanggang,125.53,120.76,118.74,118.48,106.13,114.65,105.54,122.78,117.16,112.08,130.24,105.23,116.53
"694 Paku, sekrup, mur, baut, paku keling dan sejenisnya, dari besi, baja, tembaga atau aluminium",132.95,121.21,115.7,119.03,110.59,115.38,125.47,128.56,129.16,148.8,111.58,163.44,127.28
"697 Peralatan rumah tangga dari logam dasar, tidak dirinci",142.09,140.53,116.63,126.24,109.56,144.73,138.02,113.08,101.41,123.09,124.95,143.2,127.71
"699 Produk logam dasar, tidak dirinci",108.25,129.13,114.08,118.67,102.27,121.09,141.11,119.01,133.75,123.35,133.01,180.27,127.24
"713 Mesin internal pembakaran piston dan bagian-bagiannya, tidak dirinci",98.18,103.64,105.84,103.83,104.24,108.07,99.63,103.53,105.91,105,109.6,106.67,104.64
"742 Pompa air, ada atau tdk dilengkapi alat ukur, lift cair; bagian dari pompa dan lift",106.7,83.85,87.16,79.66,91.17,57.61,156.87,76.06,63.8,49.44,79.9,79.59,83.08
"743 Pompa (selain pompa air) udara atau gas lainnya, kompresor dan kipas angin; ventilasi atau penutup daur ulang dilengkapi dengan kipas angin, dilengkapi atau tidak dengan filter; sentrifugal, alat penyaringan atau pemurnian ; dan bagiannya",99.47,100.36,101.3,104.53,103.19,95.03,93.52,93.13,94.19,107.15,109.3,111.71,100.77
"747 Kran, kran, katup dan alat sejenis untuk pipa, ketel uap, tanki, tong atau sejenisnya, termasuk katup penurun tekanan dan katup termostaik yang dikendalikan",110.23,132.97,94.26,145.72,146.92,121.14,102.12,106.03,86.53,117.54,128.37,110.22,116.32
"748 Poros transmisi (termasuk camshaft atau crankshaffts) dan engkol, bantalan rumah dan poros polos; gigi dan gir, bola atau rol sekrup, kotak gir dan pengubah kecepatan lainnya(termasuk konverter torsi); roda gaya dan puli",99.46,108.07,111.38,259.39,103.85,102.26,98.25,112.01,115.72,107.73,98.14,119.67,133.89
751 Mesin kantor,133.88,127.09,169.44,144.79,123.99,121.48,121.62,121.2,109.75,110.04,109.76,112.22,126.7
"762 Pesawat penerima siaran radio, dikombinasi atau tidak, di pusat yang sama dengan alat rekaman suara atau jam",111.22,108.44,114.79,117.65,117.98,121.11,131.93,147.31,145.96,133.95,135.27,128.78,127.9
771 Mesin pembangkit listrik (selain pembangkit listrik di kelompok 76) dan bagiannya,122.37,107.05,129.15,101.06,119.09,104.59,105.1,120.12,118.39,120.26,127.28,121.11,116.52
"772 Alat listrik untuk berganti atau melindungi sirkuit listrik atau untuk membuat koneksi ke atau pada sirkuit listrik (misalnya switch, relay, sekring, penangkal petir, pembatas tegangan, penekan kenaikan tegangan, colokan dan soket, lampu pegangan dan junct",93.38,93.5,101.7,97.31,101.21,100.89,103.92,107.23,102.1,110.6,110.36,108.37,102.58
"773 Peralatan untuk menyalurkan listrik, tidak dirinci",125.58,127.49,129.19,124.1,126.77,122.2,124.45,122.43,122.76,132.87,123.16,121.13,125.18
"775 Peralatan elektronik atau non-elekronik rumah tangga, tidak dirinci",123.11,128.56,134.6,145.04,132.55,131.1,137.5,140.82,141.47,138.6,115.12,113.11,132.85
"778 Mesin dan peralatan listrik, tidak dirinci",132.44,145.25,131.76,155.22,151.06,128.24,114.81,117.33,155.66,137.99,120.01,151.51,136.99
"781 Mobil dan kendaraan bermotor lainnya yang terutama didesain untuk pengangkutan orang (selain kendaraan bermotor untuk pengangkutan sepuluh orang atau lebih, termasuk pengemudi), termasuk stasiun-wagon dan mobil balap",118.32,118.2,115.85,116.1,110.35,102.59,115.22,116.62,117.37,57.24,128.86,115.02,109.62
782 Kendaraan bermotor untuk pengangkutan barang dan kendaraan bermotor tujuan khusus,84.66,97.5,77.88,80.76,87.26,78.13,69.26,60.86,65.21,59.64,73.15,93.63,75.06
"784 Bagian dan aksesori kendaraan bermotor dari kelompok 722, 781, 782 dan 783",106.27,107.56,103.7,108.04,110.72,108.59,101.8,103.52,103.11,105.46,104.39,105.06,105.62
"785 Sepeda motor (termasuk moped) dan sepeda, bermotor dan tidak bermotor; gerbong yang tidak valid",116.51,114.57,120.58,124.26,120.05,116.02,119.59,115.22,117.44,125.72,113,119.08,118.48
"813 Perlengkapan dan peralatan pencahayaan, tidak dirinci",83.94,59.92,80.67,108.81,116.29,83.5,88.34,81.26,71.23,80.8,74.98,81.23,85.55
"821 Furnitur dan bagiannya; selimut, kasur, barang pembuat kasur, bantal dan barang perabot sejenisnya",122.07,117.81,116.05,120.15,121.1,124.99,118.55,121.08,109.16,117.86,121.47,114.56,118.81
"831 Bagasi, koper, kotak rias, tas eksekutif, tas sekolah, tempat kacamata, tas teropong, tas kamera, tas alat musik, tas pistol, sarung dan wadah semacamnya; tas bepergian, tas makanan atau minuman, tas toilet",108.15,107.91,107.94,101.55,98.46,100.52,90.92,96.56,81.42,87.84,90.41,89.83,97.82
"841 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",110.56,112.15,119.02,106.01,111.17,100.41,100.07,108.71,112.01,124.66,123.13,120.05,111.89
"842 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",112.67,116.75,112.8,129.89,109.69,108.58,106.01,118.76,120.74,128.64,134.86,117.47,117.71
"843 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",101.66,107.66,110.2,105.25,104.6,94.33,114.46,112.47,136.21,132.43,108.55,120.58,111.23
"844 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",118.22,121.13,119.67,111.1,124.29,107.99,110.68,114.01,115.56,114.35,129.08,111.19,116.34
"845 Pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak, tidak dirinci",115.74,119.07,112.9,110.1,122.36,118.12,113.18,117.47,123.21,126.11,120.11,116.37,117.41
"846 Aksesoris pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak (selain untuk bayi)",118.72,139.18,122.29,123.35,124.67,103.28,104.11,106.9,125.29,111.4,114.84,84.38,114.67
848 Artikel dari pakaian dan aksesori pakaian selain dari kain tekstil; tutup kepala dari semua bahan,135.34,132.34,128.34,136.59,134.81,146.35,136.48,153.9,138.13,131.73,128.17,120.45,135.45
851 Alas kaki,109.36,103.74,106.45,108.66,107.76,109.92,105.17,103.15,108.81,106.48,104.22,105.03,106.62
"872 Instrumen dan peralatan, tidak dirinci, untuk tujuan medis, bedah, perawatan gigi atau kedokteran hewan",113.19,127.52,144.25,128.58,121.75,106.56,124.35,110.51,111.81,106.93,103.9,116.15,117.85
"873 Meter dan counter, tidak dirinci",124.69,149.85,178.48,129,129.79,131.59,142.74,134.3,120.67,120.82,136.75,114.42,134.31
"884 Barang-barang optik, tidak dirinci",81.69,124.26,110.45,89.1,130.88,121.71,128.44,129.9,115.41,103.91,104.63,104.79,112.92
"893 Barang dari plastik, tidak dirinci",109.13,129.68,106.75,142.4,105.75,129.06,130.13,108.31,117.69,105.98,97.26,105.52,116.97
"894 Kereta bayi, mainan, game dan barang olahraga",96.94,97.49,92.84,93.66,90.05,73.33,86.86,87,102.17,96.47,100.64,101.49,92.76
"895 Persediaan kantor dan alat tulis, tidak dirinci",108.7,108.95,98.05,101.59,118.96,106.26,99.56,96.82,105.16,107.38,118.16,128.7,106.82
"897 Perhiasan, emas dan perak, dan barang lainnya dari bahan mulia atau semi mulia, tidak dirinci",112.39,128.38,141.84,129.78,107.98,131.48,126.3,122.6,134.09,112.37,151.22,141.84,132.87
"898 Alat musik dan bagian dan perlengkapannya; rekaman, kaset dan suara atau mirip rekaman lainnya (tidak termasuk barang dari kelompok 763 dan 883)",126.42,125.64,124.18,120.35,124.1,118.29,129.15,131.89,134.56,140.76,138.55,231.52,135.59
"899 Aneka macam barang produksi yang terpisah, tidak dirinci",94.08,102.63,122.71,102.98,115.04,97.65,118.63,125.55,113.11,112.9,116.9,119.42,111.68
"971 Emas, non-moneter (tidak termasuk bijih emas dan konsentrat)",136.95,139,146.56,144.64,141,139.95,139.28,146.5,139.78,136.97,140.97,146.01,141.82
TOTAL EKSPOR,130.33,138.68,146.06,160.89,149.37,162.78,153.68,145.92,142.11,142.54,145.66,147.99,147.79
