Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2018,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
022 Susu dan krim dan produk susu selain mentega atau keju,100,100,100,100,100,100,100,100,100,100,100,100,100
"034 Ikan, segar (hidup atau mati), dingin atau beku",100,100,100,100,100,100,100,100,100,100,100,100,100
"036 Krustasea, moluska dan invertebrata air, berkulit maupun tidak, segar (hidup atau mati), dingin, beku, kering, asin atau dalam air garam; krustasea, berkulit, dikukus atau direbus, dingin atau tidak , beku, kering, asin atau dalam air garam",100,100,100,100,100,100,100,100,100,100,100,100,100
"037 Ikan, krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan, tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
048 Olahan sereal dan olahan tepung atau pati dari buah atau sayuran,100,100,100,100,100,100,100,100,100,100,100,100,100
"054 Sayuran, segar, dingin, beku atau hanya diawetkan (termasuk sayuran polongan kering); akar, umbi-umbian dan produk nabati lainnya yang dapat dimakan, tidak dirinci, segar atau kering",100,100,100,100,100,100,100,100,100,100,100,100,100
"056 Sayuran, akar dan umbi-umbian, diolah atau diawetkan, tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
"057 Buah dan kacang-kacangan (tidak termasuk kacang minyak), segar atau kering",100,100,100,100,100,100,100,100,100,100,100,100,100
"058 Buah, diawetkan, dan olahan buah (tidak termasuk jus buah)",100,100,100,100,100,100,100,100,100,100,100,100,100
"061 Gula, molase dan madu",100,100,100,100,100,100,100,100,100,100,100,100,100
062 Gula hias,100,100,100,100,100,100,100,100,100,100,100,100,100
072 Kakao,100,100,100,100,100,100,100,100,100,100,100,100,100
"073 Coklat dan makanan olahan lainnya yang mengandung kakao, tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
074 Teh dan mate,100,100,100,100,100,100,100,100,100,100,100,100,100
075 Bumbu-bumbu,100,100,100,100,100,100,100,100,100,100,100,100,100
081 Bahan pakan untuk hewan (tidak termasuk sereal tidak digiling),100,100,100,100,100,100,100,100,100,100,100,100,100
091 Margarin dan mentega,100,100,100,100,100,100,100,100,100,100,100,100,100
"098 Produk dan olahan yang dapat dimakan, tidak dirinci.",100,100,100,100,100,100,100,100,100,100,100,100,100
"111 Minuman non-alkohol, tidak dirinci.",100,100,100,100,100,100,100,100,100,100,100,100,100
"122 Tembakau, dipabrikasi (ada atau tidak mengandung pengganti tembakau)",100,100,100,100,100,100,100,100,100,100,100,100,100
"231 Karet alam, balata, getah perca, guayule, chicle dan sejenis getah alam, dalam bentuk asal (termasuk lateks) atau pelat, lembaran atau strip",100,100,100,100,100,100,100,100,100,100,100,100,100
"232 Karet sintetis; karet reklamasi; limbah, reja dan skrap dari karet yang tidak dikeraskan",100,100,100,100,100,100,100,100,100,100,100,100,100
"248 Kayu, dikerjakan sederhana, dan bantalan rel kereta api dari kayu",100,100,100,100,100,100,100,100,100,100,100,100,100
251 Bubur dan limbah kertas,100,100,100,100,100,100,100,100,100,100,100,100,100
263 Katun,100,100,100,100,100,100,100,100,100,100,100,100,100
"273 Batu, pasir dan kerikil",100,100,100,100,100,100,100,100,100,100,100,100,100
283 Bijih tembaga dan konsentratnya; Mate tembaga; tembaga semen,100,100,100,100,100,100,100,100,100,100,100,100,100
"288 Limbah logam dasar dan skrap selain besi, tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
"292 Bahan nabati mentah, tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
"321 Batubara, ditumbuk atau tidak, tetapi tidak diaglomerasi",100,100,100,100,100,100,100,100,100,100,100,100,100
"322 Briket, lignit dan gambut",100,100,100,100,100,100,100,100,100,100,100,100,100
"333 Minyak petroleum dan minyak yang diperoleh dari mineral mengandung bitumen, mentah",100,100,100,100,100,100,100,100,100,100,100,100,100
"343 Gas alam, cair atau tidak",100,100,100,100,100,100,100,100,100,100,100,100,100
"422 Lemak dan minyak nabati tertentu, minyak mentah, halus atau difraksinasi, selain lunak",100,100,100,100,100,100,100,100,100,100,100,100,100
"431 Lemak dan minyak hewani atau nabati, diproses; lilin; campuran atau olahan dari lemak atau minyak hewani atau nabati tidak dapat dimakan, tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
"511 Hidrokarbon, tidak dirinci, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",100,100,100,100,100,100,100,100,100,100,100,100,100
"512 Alkohol, fenol, fenol-alkohol, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",100,100,100,100,100,100,100,100,100,100,100,100,100
"513 Asam karboksilat dan anhidrida, halida, peroksida dan asam peroksinya; halogenasi, sulfonasi, nitrasi atau turunan nitrosasi",100,100,100,100,100,100,100,100,100,100,100,100,100
514 Fungsi senyawa nitrogen,100,100,100,100,100,100,100,100,100,100,100,100,100
"515 Senyawa organo-anorganik, senyawa heterosiklik, asam nukleat dan garamnya, dan sulfonamid",100,100,100,100,100,100,100,100,100,100,100,100,100
"522 Unsur kimia anorganik, oksida dan garam halogen",100,100,100,100,100,100,100,100,100,100,100,100,100
"523 Garam dan garam peroksi, asam anorganik dan logam",100,100,100,100,100,100,100,100,100,100,100,100,100
"531 Bahan pewarna dan sejenisnya sintetis organik, dan olahan daripadanya",100,100,100,100,100,100,100,100,100,100,100,100,100
"533 Pigmen, cat, pernis dan bahan terkait",100,100,100,100,100,100,100,100,100,100,100,100,100
"553 Wewangian, kosmetik atau persediaan untuk toilet (tidak termasuk sabun)",100,100,100,100,100,100,100,100,100,100,100,100,100
"554 Sabun, pembersih dan alat untuk pembersih",100,100,100,100,100,100,100,100,100,100,100,100,100
562 Pupuk (selain yang dari kelompok 272),100,100,100,100,100,100,100,100,100,100,100,100,100
"574 Poliasetal, polieter lainnya dan resin epoksida, dalam bentuk asal; polikarbonat, resin alkid, ester polialil dan poliester lainnya, dalam bentuk asal",100,100,100,100,100,100,100,100,100,100,100,100,100
"575 Plastik lainnya, dalam bentuk asal",100,100,100,100,100,100,100,100,100,100,100,100,100
"582 Pelat, lembaran, film, foil dan strip, dari plastik",100,100,100,100,100,100,100,100,100,100,100,100,100
"583 Monofilamen yang ukuran penampang melebihi 1 mm, batang, tongkat dan bentuk profil, permukaan dikerjakan maupun tidak dikerjakan, dari plastik",100,100,100,100,100,100,100,100,100,100,100,100,100
"591 Insektisida, redontisida, fungisida, herbisida, produk anti-berkecambah dan pengatur pertumbuhan tanaman, desinfektan dan produk semacamnya, disiapkan dalam bentuk atau kemasan untuk penjualan eceran atau sebagai alat atau barang (misalnya, kelompok sulfur, sumbu",100,100,100,100,100,100,100,100,100,100,100,100,100
"592 Zat tepung (pati/kanji), inulin dan zat gandum; zat albumin; zat perekat",100,100,100,100,100,100,100,100,100,100,100,100,100
"598 Macam-macam produk kimia, tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
611 Kulit,100,100,100,100,100,100,100,100,100,100,100,100,100
"625 Ban karet, tapak ban dipertukarkan, penutup ban dan ban dalam untuk roda dari semua jenis",100,100,100,100,100,100,100,100,100,100,100,100,100
"629 Barang dari karet, tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
"634 Veneer, kayu lapis, papan partikel, dan kayu lainnya, bekerja, tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
"635 Produsen kayu, tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
641 Kertas dan kertas karton,100,100,100,100,100,100,100,100,100,100,100,100,100
"642 Kertas dan kertas karton, dipotong menurut ukuran atau bentuk, dan barang dari kertas atau kertas karton",100,100,100,100,100,100,100,100,100,100,100,100,100
651 Benang tekstil,100,100,100,100,100,100,100,100,100,100,100,100,100
"652 Kain katun, tenun (tidak termasuk kain sempit atau khusus)",100,100,100,100,100,100,100,100,100,100,100,100,100
"653 Kain, anyaman, dari bahan tekstil buatan manusia (tidak termasuk kain sempit atau khusus)",100,100,100,100,100,100,100,100,100,100,100,100,100
"655 Kain rajutan atau kaitan (termasuk tabung kain rajutan, tidak dirinci, kain berbulu dan kain kerawang), tidak dirinci",100,100,100,100,100,100,100,100,100,100,100,100,100
