Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
022 Susu dan krim dan produk susu selain mentega atau keju,86.07,83.96,88.64,69.96,73.92,98.98,93.97,101.11,90.42,88.75,86.9,81.92,86.64
"034 Ikan, segar (hidup atau mati), dingin atau beku",102.65,111.55,107.59,112.97,109.51,110.88,110.43,118.5,129.79,115.07,112.57,104.13,112.31
"036 Krustasea, moluska dan invertebrata air, berkulit maupun tidak, segar (hidup atau mati), dingin, beku, kering, asin atau dalam air garam; krustasea, berkulit, dikukus atau direbus, dingin atau tidak , beku, kering, asin atau dalam air garam",100.92,100.11,101.57,105.76,107.31,111.04,111.83,104.56,101.93,108.51,106.29,118.38,106.79
"037 Ikan, krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan, tidak dirinci",93.6,91.2,103.39,96.28,95.79,98.17,94.97,98.11,97.27,96.94,93.8,94.51,96.26
048 Olahan sereal dan olahan tepung atau pati dari buah atau sayuran,98.8,107.68,113.86,112.24,109.23,106.18,107.72,113.41,112.29,109.2,110.92,110.14,109.53
"054 Sayuran, segar, dingin, beku atau hanya diawetkan (termasuk sayuran polongan kering); akar, umbi-umbian dan produk nabati lainnya yang dapat dimakan, tidak dirinci, segar atau kering",124.47,96.77,103.63,141.54,110.66,110.57,109.25,115.77,109.98,100.89,120.78,90.51,111.5
"056 Sayuran, akar dan umbi-umbian, diolah atau diawetkan, tidak dirinci",92.67,82.16,93.57,108.2,110.5,106.83,115.02,105.61,107.95,106.09,109.1,115.18,103.9
"057 Buah dan kacang-kacangan (tidak termasuk kacang minyak), segar atau kering",64.12,65.91,62.1,71.39,72.34,71.1,75.46,75.63,80.6,81.04,79.01,77.32,73.43
"058 Buah, diawetkan, dan olahan buah (tidak termasuk jus buah)",115.25,117.45,118.2,126.69,130.99,132.44,129.24,133.55,128.84,128.16,133.17,134.07,127.8
"061 Gula, molase dan madu",130.91,116.04,115.15,117.54,146.43,148.3,143.16,140.62,151.14,155.28,146.34,150.03,142.18
062 Gula hias,112.94,113.53,107.94,106.38,106.44,112.1,109.72,125.78,119.37,124.48,103.81,114.17,113.28
072 Kakao,108.82,109.02,104.84,101.69,107.77,98.36,110.3,103.04,112.09,114.52,112.3,120.18,108.82
"073 Coklat dan makanan olahan lainnya yang mengandung kakao, tidak dirinci",108.96,105.98,106.49,89.86,100.3,113.28,107.28,104.04,105.21,96.34,111.03,96.72,104.36
074 Teh dan mate,84.2,112.47,98.06,108.14,144.14,82.88,90.32,100.22,97.46,93.57,95.75,87.84,100.94
075 Bumbu-bumbu,115.11,103.41,111.37,116.14,119.27,128.36,125.52,119.31,124.78,130.37,122.66,123.26,119.87
081 Bahan pakan untuk hewan (tidak termasuk sereal tidak digiling),146.5,143.03,141.93,144.11,142.25,138.03,124.06,125.71,124.58,122.52,124.81,119.78,132.35
091 Margarin dan mentega,129.39,126.89,124.25,128.33,131.65,133.84,130.07,129.02,129.91,131.64,137.72,146.26,131.85
"098 Produk dan olahan yang dapat dimakan, tidak dirinci.",126.04,112.25,116.62,139.57,123.26,141.31,136.99,134.52,131.66,136.86,137.44,133.94,130.88
"111 Minuman non-alkohol, tidak dirinci.",80.3,87.52,94.64,91.31,84.85,101.66,97.43,95.01,96.2,98.68,99.63,100.86,94.47
"122 Tembakau, dipabrikasi (ada atau tidak mengandung pengganti tembakau)",101.13,96.54,96.93,93.47,94.26,94.65,98.16,94.98,96.75,93.94,102.69,101.81,97.13
"231 Karet alam, balata, getah perca, guayule, chicle dan sejenis getah alam, dalam bentuk asal (termasuk lateks) atau pelat, lembaran atau strip",92.33,92.12,94.59,96.67,99.92,99.85,101.71,103.72,103.8,106.37,108.57,115.27,101.02
"232 Karet sintetis; karet reklamasi; limbah, reja dan skrap dari karet yang tidak dikeraskan",91.37,90.33,93.68,94.65,96.6,93.35,94.3,96.6,88.77,701.89,97.43,641.44,195.57
"248 Kayu, dikerjakan sederhana, dan bantalan rel kereta api dari kayu",102.87,105,101.14,97.92,92.33,89.78,94.52,92.11,96.2,94.97,92.41,87.66,95.41
251 Bubur dan limbah kertas,109.02,108.11,100.5,97.26,87.08,74.55,66.68,65.46,65.34,69.11,76.46,79.85,84.59
263 Katun,100.53,103.89,103.05,101.75,99.61,126.68,118.1,115.99,130.16,115.44,103.52,114.08,110.42
