Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
"511 Hidrokarbon, tidak dirinci, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",117.4,116.97,126.55,179.14,134.19,112.81,126.18,115.77,133.55,141.32,162.39,160.18,138.11
"512 Alkohol, fenol, fenol-alkohol, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",91.77,95.91,108.11,114.75,125.67,138.39,147.91,146.94,147.69,164.25,175.92,203.88,143.45
"513 Asam karboksilat dan anhidrida, halida, peroksida dan asam peroksinya; halogenasi, sulfonasi, nitrasi atau turunan nitrosasi",73.4,81.61,101.17,95.81,101.73,102.65,114.94,105.38,104.87,110.49,125.89,130.6,106.24
514 Fungsi senyawa nitrogen,82.82,89.29,93.69,101.49,96.79,99.45,108.03,112.84,115.25,119.9,124.23,135.28,107.94
"515 Senyawa organo-anorganik, senyawa heterosiklik, asam nukleat dan garamnya, dan sulfonamid",96.67,92.16,93.75,74.16,79.96,88.61,92.02,98.16,100.22,109.62,113,131.74,99.19
"522 Unsur kimia anorganik, oksida dan garam halogen",78.02,91.46,106.55,131.46,145.95,168.12,178,167.67,160.08,162.12,167.64,224.07,154.79
"523 Garam dan garam peroksi, asam anorganik dan logam",103.31,82.63,84.55,87.34,82.86,100.16,97.79,97.03,81.62,84.76,91.17,93.56,90.85
"531 Bahan pewarna dan sejenisnya sintetis organik, dan olahan daripadanya",94.58,107.37,112.52,108.86,106.08,104.44,108.85,114.75,105.3,92.2,85.72,84.26,102.07
"533 Pigmen, cat, pernis dan bahan terkait",91.19,87.75,90.04,84.98,88.21,83.62,86.53,84.06,83.89,68.84,74.36,92.84,84.78
"553 Wewangian, kosmetik atau persediaan untuk toilet (tidak termasuk sabun)",106.02,96.98,106.62,120.33,166.19,112.48,120.28,145.94,110.26,92.96,108.86,88.49,114.54
"554 Sabun, pembersih dan alat untuk pembersih",96.21,101.12,103.2,106.88,102.54,101.57,105.2,109.72,131.46,113.46,124.99,117.35,109.75
562 Pupuk (selain yang dari kelompok 272),467.52,96.57,121.41,123.22,117.24,130.09,136.89,159.05,154.04,154.68,159.01,176.17,148.59
"574 Poliasetal, polieter lainnya dan resin epoksida, dalam bentuk asal; polikarbonat, resin alkid, ester polialil dan poliester lainnya, dalam bentuk asal",68.88,72.76,81,90.68,95.61,86.85,88.78,89.46,85.93,84.95,97.42,100.06,87.72
"575 Plastik lainnya, dalam bentuk asal",90.09,86.98,90.55,118.33,93.24,98.23,106.67,109.55,100.18,91.4,101.08,114.2,100.6
"582 Pelat, lembaran, film, foil dan strip, dari plastik",89.18,91.54,89.94,94.97,97,99.02,97.19,94.38,96.7,97.4,102.56,101.91,96.17
"583 Monofilamen yang ukuran penampang melebihi 1 mm, batang, tongkat dan bentuk profil, permukaan dikerjakan maupun tidak dikerjakan, dari plastik",93.59,94.27,103.23,97.15,110.3,102.03,98.17,107.5,108.15,102.65,106.8,103.63,102.41
"591 Insektisida, redontisida, fungisida, herbisida, produk anti-berkecambah dan pengatur pertumbuhan tanaman, desinfektan dan produk semacamnya, disiapkan dalam bentuk atau kemasan untuk penjualan eceran atau sebagai alat atau barang (misalnya, kelompok sulfur, sumbu",106,101.93,152.93,91.09,144.3,131.74,139.89,172.84,155.84,87.39,73.25,146.88,123.81
"592 Zat tepung (pati/kanji), inulin dan zat gandum; zat albumin; zat perekat",98.82,90.71,93.08,105.13,112.31,88.2,99.87,92.35,148.94,95.95,95.84,108.54,103.12
"598 Macam-macam produk kimia, tidak dirinci",103.98,74.38,118.36,113.15,122.57,132.43,134.21,138.86,130.01,128.79,138.23,143.28,126.38
611 Kulit,81.93,99.55,89.04,91.14,85.28,90.83,97.76,85.16,98.93,79.62,104.39,108.61,93.52
"625 Ban karet, tapak ban dipertukarkan, penutup ban dan ban dalam untuk roda dari semua jenis",103.03,103.65,104.23,102.77,106.01,107.49,102.89,106.27,108.2,108.13,113.25,109.61,106.43
"629 Barang dari karet, tidak dirinci",100.49,95.99,86.81,86.31,106.6,88.31,90.34,100.09,102.6,92.2,76.35,90.45,92.94
"634 Veneer, kayu lapis, papan partikel, dan kayu lainnya, bekerja, tidak dirinci",83.47,88.47,87.54,89.79,94.27,96.6,98.01,99.23,102.69,109.19,112.99,117.75,100.35
"635 Produsen kayu, tidak dirinci",97.8,100.42,99.22,100.38,103.08,101.82,102.23,103.81,101.75,106.5,100.93,99.32,101.49
641 Kertas dan kertas karton,80.77,81.61,85.09,88.3,90.68,95.24,92.71,90.11,89.18,87.01,89.4,96.16,88.8
"642 Kertas dan kertas karton, dipotong menurut ukuran atau bentuk, dan barang dari kertas atau kertas karton",105.55,105.06,103.13,101.21,100.03,100.25,105.04,104.79,97.66,96.53,101.89,99.06,101.57
651 Benang tekstil,85.21,88.76,93.98,97.21,98.47,96.3,94.74,95.11,96.25,98.21,103.47,112.09,97.04
"652 Kain katun, tenun (tidak termasuk kain sempit atau khusus)",100.65,99.38,97.01,96.04,91.5,101.34,101.05,98.36,101.14,94.65,98.69,108.74,99.19
"653 Kain, anyaman, dari bahan tekstil buatan manusia (tidak termasuk kain sempit atau khusus)",100.45,96.77,100.83,102.43,102.29,100.23,97.65,103.36,101.79,102.56,103.55,105.91,101.64
"655 Kain rajutan atau kaitan (termasuk tabung kain rajutan, tidak dirinci, kain berbulu dan kain kerawang), tidak dirinci",85.42,99.65,85.46,105.45,95.96,104.25,100.13,115.78,87.26,110.58,108.4,90.57,98.77
"656 Kain tulle, renda, bordir, pita, hiasan dan barang lainnya",102.42,88.42,96.56,86.85,92.34,97.27,236.63,183.06,126.01,128.58,112.75,80.86,118.93
"657 Benang khusus, kain tekstil khusus dan produk-produk terkait",99.55,99.72,97.99,96.92,99.98,99.11,102.63,103.68,99.25,98.29,99.7,101.11,99.89
"658 Barang yang dibuat, seluruhnya atau terutama dari bahan tekstil, tidak dirinci",57.72,75.76,72.6,83.31,100.63,110.39,98.87,92.33,114.15,89.24,88.36,83.71,88.17
"659 Penutup lantai, dll",101.16,101.3,106.88,94.21,106.07,125.79,111.44,106.66,101.78,109.29,102.85,96.51,105.03
"661 Kapur, semen, dan konstruksi fabrikasi bahan (kecuali bahan kaca dan tanah liat)",96.54,103.82,101.15,90.05,92.54,87.74,94.37,97.92,95.62,103.86,99.75,106.4,97.14
662 Bahan konstruksi dari tanah liat dan bahan konstruksi tahan api,113.26,96.01,86.88,139.18,102.49,86.02,93.82,108.83,170.51,102.65,96.18,97.86,106.97
"663 Produsen mineral, tidak dirinci",112.22,102.74,98.75,102.07,81.74,124.6,111.25,109.77,105.77,105.48,102.89,85.12,103.8
664 Kaca,105.47,96.49,93.53,104.65,98.38,103.98,104.2,103.83,102.8,106.23,105.84,107.69,102.83
665 Barang pecah belah,119.73,114.33,120.1,106.01,112.12,111.33,109.71,112.02,110.31,113.9,97.24,98.99,110.63
