Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2020,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
022 Susu dan krim dan produk susu selain mentega atau keju,99.72,92.02,104.9,89.8,88.1,102.29,103.64,101.91,93.83,102.95,116.68,94.37,99.42
"034 Ikan, segar (hidup atau mati), dingin atau beku",96.45,103.32,97.93,93.95,95.37,102.55,96.88,97.3,95.93,96.7,97.87,91.51,97.08
"036 Krustasea, moluska dan invertebrata air, berkulit maupun tidak, segar (hidup atau mati), dingin, beku, kering, asin atau dalam air garam; krustasea, berkulit, dikukus atau direbus, dingin atau tidak , beku, kering, asin atau dalam air garam",96.7,93.99,94.37,88.74,94.73,100.23,105.58,101.82,100.12,100.36,98.82,99.91,98.16
"037 Ikan, krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan, tidak dirinci",84.52,89.31,96.56,85.98,82.18,84.66,83.92,87.93,91.08,92.82,93.15,94.09,89.09
048 Olahan sereal dan olahan tepung atau pati dari buah atau sayuran,91.24,91.12,100.69,98.4,90.84,85.84,96.42,95.99,95.78,96.14,98.59,103.46,95.85
"054 Sayuran, segar, dingin, beku atau hanya diawetkan (termasuk sayuran polongan kering); akar, umbi-umbian dan produk nabati lainnya yang dapat dimakan, tidak dirinci, segar atau kering",109.68,95.3,100.22,132.98,147.33,104.15,113.3,112.96,106.03,97.26,100.46,88.94,109.26
"056 Sayuran, akar dan umbi-umbian, diolah atau diawetkan, tidak dirinci",96.5,88.97,100.9,107.71,126.86,121.04,104.5,102.52,111.54,93.75,84.09,89.92,102.23
"057 Buah dan kacang-kacangan (tidak termasuk kacang minyak), segar atau kering",77.13,80.07,81.81,85.78,85.82,91.56,104.22,105.73,109.59,109.63,110.1,107.14,96.41
"058 Buah, diawetkan, dan olahan buah (tidak termasuk jus buah)",103.64,107.42,115.37,125.87,140.5,148.06,146.33,151.5,150.49,153.04,152.95,152.25,140.55
"061 Gula, molase dan madu",111.51,112.85,102.08,104.65,116.72,142.88,147.96,134.85,153.69,139.5,129.22,146.6,133.16
