Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
062 Gula hias,105.05,93.02,96.51,92.58,98.99,101.27,96.3,101.77,102.12,103.26,104.97,95.16,99.35
072 Kakao,114.14,117.25,117.58,103.46,107.62,104.11,43.19,106.3,101.19,98.65,96.11,100.51,100.42
"073 Coklat dan makanan olahan lainnya yang mengandung kakao, tidak dirinci",88.16,94.98,103.13,79.73,91.22,94.46,100.72,78.98,116.1,79.47,92.08,78.2,91.58
074 Teh dan mate,83.84,102.16,96.98,92.18,81.74,88.25,84.15,94.8,107.86,78.17,89.95,92.99,91.19
075 Bumbu-bumbu,86.56,92.35,88.97,90.05,95.14,97.8,92.84,85.9,89,95.43,87.2,96.18,91.41
081 Bahan pakan untuk hewan (tidak termasuk sereal tidak digiling),109.7,115.16,108.5,108.69,112.03,109.02,107.37,109.57,104.18,106.04,114.72,124.56,110.9
091 Margarin dan mentega,98.32,99.62,91.04,90.9,88.65,92.84,93.17,100.96,108.23,115.68,132.66,146.11,108.93
"098 Produk dan olahan yang dapat dimakan, tidak dirinci.",106.44,101.99,102.17,104.34,97.21,110.71,99.73,112.03,110.35,129.17,138.23,137.47,114.06
"111 Minuman non-alkohol, tidak dirinci.",84.49,112.23,94.06,94.76,78.77,98.39,84.23,81.65,81,89.11,98.02,98.65,91.76
"122 Tembakau, dipabrikasi (ada atau tidak mengandung pengganti tembakau)",90.56,85.78,80.29,96.94,77.58,90.79,92.32,87,96.8,86.46,96,96.44,89.85
"231 Karet alam, balata, getah perca, guayule, chicle dan sejenis getah alam, dalam bentuk asal (termasuk lateks) atau pelat, lembaran atau strip",96.42,97.93,95.01,90.71,86.14,81.25,81.93,85.52,91.55,97.41,104.98,117.37,95.18
"232 Karet sintetis; karet reklamasi; limbah, reja dan skrap dari karet yang tidak dikeraskan",93.63,91.88,91.09,92.37,81.52,81.35,80.12,81.67,78.84,85.26,87.61,98.22,85.39
"248 Kayu, dikerjakan sederhana, dan bantalan rel kereta api dari kayu",102.54,109.37,101.22,100.46,98.18,92.25,97.41,97.23,92.23,92.32,94.12,96.15,97.52
251 Bubur dan limbah kertas,77,73.98,72.14,75.41,73.48,70.75,68.8,65.51,63.52,63.33,69.32,67.43,69.98
263 Katun,77.53,81.88,72.71,127.98,92.34,84.51,77.01,67.67,90.66,85.56,77.78,106.72,86.27
"273 Batu, pasir dan kerikil",100.25,98.07,91.62,90.43,87.58,104.03,119.78,102.49,101.96,104.26,101.76,107.93,100.45
283 Bijih tembaga dan konsentratnya; Mate tembaga; tembaga semen,-,45.3,60.31,48,51.48,64.15,65.57,72.59,81.69,77.89,89.82,112.63,82.78
"288 Limbah logam dasar dan skrap selain besi, tidak dirinci",89.76,92.56,72.4,67.95,60.58,61.89,75.17,73.43,101.82,90.8,94.23,124.5,85.87
"292 Bahan nabati mentah, tidak dirinci",104.74,106.16,102.06,96.09,110.21,110.35,112.3,112.94,103.52,105.1,111.47,115.98,107.99
"321 Batubara, ditumbuk atau tidak, tetapi tidak diaglomerasi",80.14,82.09,78.55,81.25,73.7,65.71,62.2,60.61,61.38,65.54,69,75.14,72.32
"322 Briket, lignit dan gambut",83.71,82.63,80.15,74.05,71.99,67.56,63.93,60.62,62.97,66.03,78.39,96.24,77.9
"333 Minyak petroleum dan minyak yang diperoleh dari mineral mengandung bitumen, mentah",114.01,103.33,84.82,-,37.39,44,61.99,64.91,54.59,52.24,68.71,76.57,70.28
"343 Gas alam, cair atau tidak",105.51,97.28,82.65,75.9,65.08,51.93,58.29,54.49,50.84,59.74,56.19,62.29,71.06
"422 Lemak dan minyak nabati tertentu, minyak mentah, halus atau difraksinasi, selain lunak",102.38,104.94,96.11,88.74,87.02,87.14,94.74,105.66,117.29,125.77,141.77,158.47,113.78
"431 Lemak dan minyak hewani atau nabati, diproses; lilin; campuran atau olahan dari lemak atau minyak hewani atau nabati tidak dapat dimakan, tidak dirinci",82.69,87.2,85.52,73.55,84.74,78.2,79.73,90.31,97.05,98.37,100.99,104.83,89.14
"511 Hidrokarbon, tidak dirinci, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",82.16,85.39,81.05,69.64,50.75,53.97,61.9,60.29,77.16,78.45,86.9,108.77,78.9
"512 Alkohol, fenol, fenol-alkohol, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",72.54,76.34,78.3,74.8,79.28,86.09,88.41,84.9,90.49,96.19,106.65,119.42,89.07
"513 Asam karboksilat dan anhidrida, halida, peroksida dan asam peroksinya; halogenasi, sulfonasi, nitrasi atau turunan nitrosasi",57.3,64.62,77.46,67.01,60.27,63.69,66.9,63.44,65.21,65.41,72.36,75.95,66.76
514 Fungsi senyawa nitrogen,90.42,90.13,92.54,99.24,91.73,92.17,99.01,95.44,94.01,96.37,98.61,100.21,94.96
"515 Senyawa organo-anorganik, senyawa heterosiklik, asam nukleat dan garamnya, dan sulfonamid",98.16,89.03,90.66,71.48,77.89,70.63,82.78,89.9,90.25,100.95,101.33,101.08,88.76
"522 Unsur kimia anorganik, oksida dan garam halogen",76.15,78.53,78.16,104.2,66.95,70.42,71.7,73.87,71.03,70.88,73.45,80.8,75.82
"523 Garam dan garam peroksi, asam anorganik dan logam",106.34,100.18,104.79,108,98.9,103.04,93.57,94.07,85.63,88.06,76.44,93,96.51
"531 Bahan pewarna dan sejenisnya sintetis organik, dan olahan daripadanya",97.26,115.53,100.91,98.36,119.85,105.22,110.72,114.48,124.47,92.78,90.94,89.61,104.67
"533 Pigmen, cat, pernis dan bahan terkait",75.14,77.95,79.56,80.84,82.78,77.63,81.28,79.15,79.2,71.72,71.48,77.81,77.78
"553 Wewangian, kosmetik atau persediaan untuk toilet (tidak termasuk sabun)",117.09,92.06,87.25,90.98,95.6,86.29,117.27,104.98,93.19,94.72,88.39,102.26,98.37
"554 Sabun, pembersih dan alat untuk pembersih",95.84,101.66,100.93,95,97.01,89.39,93.1,94.14,119.08,64.62,103.66,106.63,96.64
562 Pupuk (selain yang dari kelompok 272),217.73,89.32,87.96,87.26,76.08,113.93,89.71,88.9,83.43,81.82,84.37,82.66,93.71
"574 Poliasetal, polieter lainnya dan resin epoksida, dalam bentuk asal; polikarbonat, resin alkid, ester polialil dan poliester lainnya, dalam bentuk asal",81.67,78.87,76.01,71.53,66.85,65.51,61.05,63.01,60.31,58.76,61.82,62.73,67.58
"575 Plastik lainnya, dalam bentuk asal",89.73,89.17,81.6,74.18,72.25,74.63,67.93,77.36,71.35,70.03,73.81,91.47,76.33
"582 Pelat, lembaran, film, foil dan strip, dari plastik",90.22,88.82,87.52,87.46,84.85,83.25,84.44,81.41,80.76,82.28,87.08,83.56,85.02
"583 Monofilamen yang ukuran penampang melebihi 1 mm, batang, tongkat dan bentuk profil, permukaan dikerjakan maupun tidak dikerjakan, dari plastik",87,88.09,89.25,92.66,91.43,95.55,87.91,87.9,87.33,91.36,89.94,87.5,89.73
"591 Insektisida, redontisida, fungisida, herbisida, produk anti-berkecambah dan pengatur pertumbuhan tanaman, desinfektan dan produk semacamnya, disiapkan dalam bentuk atau kemasan untuk penjualan eceran atau sebagai alat atau barang (misalnya, kelompok sulfur, sumbu",94.49,84.19,86.59,150.01,103.29,121.16,152.79,219.89,146.6,79.42,73.32,98.19,118.37
"592 Zat tepung (pati/kanji), inulin dan zat gandum; zat albumin; zat perekat",103.76,97.71,112.34,97.34,112.12,90.9,107.05,89.26,89.43,92.79,78.63,76.93,91.2
"598 Macam-macam produk kimia, tidak dirinci",90.45,62.59,69.62,68.12,57.56,33.55,86.65,46.58,95.77,67.19,63.38,72.55,68.39
611 Kulit,96.74,90.74,81.92,83.05,91.28,79.9,74.9,82.36,96.17,91.36,96.31,99.11,89.56
"625 Ban karet, tapak ban dipertukarkan, penutup ban dan ban dalam untuk roda dari semua jenis",103.24,101.07,101.83,98.34,99.61,101.4,99.22,101.72,99.41,99.5,100.4,99.6,100.5
"629 Barang dari karet, tidak dirinci",104.12,97.34,86.41,91.31,104.24,87.98,87.99,85.22,93.03,100.81,86.51,94.56,93.18
"634 Veneer, kayu lapis, papan partikel, dan kayu lainnya, bekerja, tidak dirinci",87.43,85.81,83.78,82.83,82.29,80.46,78.14,77.93,77.52,76.9,82.23,82.18,81.58
"635 Produsen kayu, tidak dirinci",97.61,98.16,98.03,98.38,101.08,93.04,94.42,94.32,96.14,93.64,94.16,94.51,95.96
641 Kertas dan kertas karton,82.87,82.09,82.45,78.41,76.66,77.22,74.98,76.71,78.36,77.52,78.97,82.05,78.95
"642 Kertas dan kertas karton, dipotong menurut ukuran atau bentuk, dan barang dari kertas atau kertas karton",111.5,104.41,103.54,74.42,34.81,50.32,96.72,99.13,94.66,94.74,97.51,97.42,83.71
651 Benang tekstil,86.17,82.71,86.69,87.09,81.63,74.92,72.53,71.1,70.47,71.16,74.09,78.99,78.25
"652 Kain katun, tenun (tidak termasuk kain sempit atau khusus)",109.19,104.04,99.96,99.45,115.95,94.55,94.97,92.15,95.08,89.35,84.97,89.03,97.44
"653 Kain, anyaman, dari bahan tekstil buatan manusia (tidak termasuk kain sempit atau khusus)",99.41,99.59,97.41,96.23,83.96,93.68,98.77,99.22,99.47,103.34,101.67,98.64,98.04
"655 Kain rajutan atau kaitan (termasuk tabung kain rajutan, tidak dirinci, kain berbulu dan kain kerawang), tidak dirinci",110.1,92.47,93.2,111.39,94.37,101.87,97,101.94,87.2,104.99,88.93,93.05,98.14
"656 Kain tulle, renda, bordir, pita, hiasan dan barang lainnya",82.95,83.42,85.84,80.1,110.48,98.54,100.7,141.51,97.66,84.72,96.38,78.6,92.3
"657 Benang khusus, kain tekstil khusus dan produk-produk terkait",96.24,99.05,97.66,97.54,96.62,98.46,91.54,91.18,86.99,89.92,91.87,91.99,93.98
"658 Barang yang dibuat, seluruhnya atau terutama dari bahan tekstil, tidak dirinci",42.48,80.73,200.59,109.03,122.99,134.46,129.64,120.97,123.02,104.54,102.52,67.94,111.08
"659 Penutup lantai, dll",86.52,90.67,96.38,96.06,102.16,105.36,107.06,105.34,93.63,106.62,105.56,106.24,100.09
"661 Kapur, semen, dan konstruksi fabrikasi bahan (kecuali bahan kaca dan tanah liat)",141.17,97.59,111.24,84.5,83.34,81.21,91.77,89.59,87.67,98.38,92.61,90.87,93.76
662 Bahan konstruksi dari tanah liat dan bahan konstruksi tahan api,111.29,106.39,108.36,147.33,116.42,82.93,79.29,90.91,97,100.75,108.12,92.26,100.31
"663 Produsen mineral, tidak dirinci",102.19,99.97,103.92,120.1,102.29,132.58,108.69,125.26,121.79,122.56,115.35,107.68,113.05
664 Kaca,89.05,99.5,96.41,103.94,87.19,90.39,91.05,95.48,92.36,95.37,96.97,95.93,94.41
665 Barang pecah belah,107.73,107.48,105.46,106.04,109.75,119.27,110.14,112.22,108.92,112.33,104.73,101.48,108.7
675 Produk gulungan datar dari baja campuran,101.84,103.35,97.48,94.84,97.2,87.28,88.83,91.32,94.8,97.94,100.86,102.49,97.52
"676 Jeruji besi dan baja, batang, ujung, bentuk dan bagian (termasuk lapisan tiang pancang)",98.14,104.87,85.53,97.84,73.2,49.61,67.85,74.38,80.19,51.46,65.02,63.59,70.23
678 Kawat dari besi atau baja,89.6,88.88,95.88,85.01,87.3,99.45,85.94,86.81,82.63,87.78,93.94,90.52,89.47
682 Tembaga,88.42,83.19,79.21,75.01,75.85,80.8,94.03,104.89,111.1,108.83,108.16,114.97,94.18
684 Aluminium,88.74,87.38,90.25,82.55,78.64,78.76,82.27,78.9,83.48,113.67,92.11,95.49,87.37
"691 Struktur dan bagian struktur, tidak dirinci, dari besi, baja atau aluminium",91.89,239.41,113.34,161.19,146.94,92.08,91.76,238.19,94.41,98.55,98.91,113.06,165.91
693 Produk kawat ( tidak termasuk kabel listrik terisolasi) dan pagar pemanggang,95.63,92.02,95.57,96.84,129.67,94.96,90.61,119.79,86.85,87.43,95.93,92.51,97.4
"694 Paku, sekrup, mur, baut, paku keling dan sejenisnya, dari besi, baja, tembaga atau aluminium",128.55,97.44,108,110.44,101.18,108.96,99.65,90.5,92.28,97.33,90.3,159.87,109.41
"697 Peralatan rumah tangga dari logam dasar, tidak dirinci",118.97,97.69,94.87,115.37,110.8,111.51,108.75,107.08,112.79,105.45,111.87,98.9,107.6
"699 Produk logam dasar, tidak dirinci",102.04,99.17,108.88,80.96,102.35,120.19,107.24,113.72,132.5,112.18,129.57,149.85,113.53
"713 Mesin internal pembakaran piston dan bagian-bagiannya, tidak dirinci",102.55,103.33,101.62,102.25,108.79,113.64,119.91,105.91,100.95,107.58,107.67,102.9,105.99
"742 Pompa air, ada atau tdk dilengkapi alat ukur, lift cair; bagian dari pompa dan lift",129.34,95.04,101.55,90.06,82.87,89.77,96.33,69.33,72.2,88.54,84.76,86.81,90.63
"743 Pompa (selain pompa air) udara atau gas lainnya, kompresor dan kipas angin; ventilasi atau penutup daur ulang dilengkapi dengan kipas angin, dilengkapi atau tidak dengan filter; sentrifugal, alat penyaringan atau pemurnian ; dan bagiannya",96.26,97.12,96.64,89.56,91.88,98.22,92.5,86.26,92.58,92.08,95.29,93.12,93.47
"747 Kran, kran, katup dan alat sejenis untuk pipa, ketel uap, tanki, tong atau sejenisnya, termasuk katup penurun tekanan dan katup termostaik yang dikendalikan",112.87,112.32,104.83,106.14,102.68,80.79,85.1,127.65,76.59,100.77,104.78,96.61,101.86
"748 Poros transmisi (termasuk camshaft atau crankshaffts) dan engkol, bantalan rumah dan poros polos; gigi dan gir, bola atau rol sekrup, kotak gir dan pengubah kecepatan lainnya(termasuk konverter torsi); roda gaya dan puli",108,103.09,117.79,110.9,126.65,105.78,93.72,95.68,103.46,110.86,103.46,108.32,107.27
751 Mesin kantor,107.84,98.94,134.03,104.23,110.6,106.56,111.4,109.8,102.2,115.13,109.51,122.5,112.13
"762 Pesawat penerima siaran radio, dikombinasi atau tidak, di pusat yang sama dengan alat rekaman suara atau jam",118.02,113.78,119.27,117.03,142.21,126.52,126.85,127.34,127.94,119.45,112.57,103.66,119.23
771 Mesin pembangkit listrik (selain pembangkit listrik di kelompok 76) dan bagiannya,94.53,90.82,105.59,96.6,104.19,99.5,102.77,81.87,95.61,104.16,117.06,112.18,100.16
"772 Alat listrik untuk berganti atau melindungi sirkuit listrik atau untuk membuat koneksi ke atau pada sirkuit listrik (misalnya switch, relay, sekring, penangkal petir, pembatas tegangan, penekan kenaikan tegangan, colokan dan soket, lampu pegangan dan junct",90.28,100.61,105.8,103.39,98.99,101.48,102.63,93.83,99.22,96.78,95.3,97.37,98.53
"773 Peralatan untuk menyalurkan listrik, tidak dirinci",101.85,102.33,102.6,99.65,99.71,96.26,98.06,98.06,101.89,110.62,104.36,103.5,102.09
"775 Peralatan elektronik atau non-elekronik rumah tangga, tidak dirinci",109.01,110.7,114.99,113.6,113.71,112.69,113.81,113.83,79.02,108.84,97.83,97.58,106.56
"778 Mesin dan peralatan listrik, tidak dirinci",120.51,124.36,101.95,117.17,116.23,109.4,107.44,94.59,113.71,106.35,110.42,112.27,110.92
"781 Mobil dan kendaraan bermotor lainnya yang terutama didesain untuk pengangkutan orang (selain kendaraan bermotor untuk pengangkutan sepuluh orang atau lebih, termasuk pengemudi), termasuk stasiun-wagon dan mobil balap",112.93,111.88,110.27,102.7,104.07,98.51,96.92,97.85,101.3,102.31,118.12,103.93,106.75
782 Kendaraan bermotor untuk pengangkutan barang dan kendaraan bermotor tujuan khusus,102.49,97.87,104.39,67.03,103.92,97.72,99.75,112.83,105.48,104.66,89.22,108.48,102.57
"784 Bagian dan aksesori kendaraan bermotor dari kelompok 722, 781, 782 dan 783",101.11,102.96,102.78,105.04,112.35,103.18,103.29,104.97,98.01,102.91,103.58,57.29,97.55
"785 Sepeda motor (termasuk moped) dan sepeda, bermotor dan tidak bermotor; gerbong yang tidak valid",104.69,103.87,107.23,110.18,108.22,113.48,106.94,103.61,101.48,111.4,105.3,108.89,106.59
"813 Perlengkapan dan peralatan pencahayaan, tidak dirinci",112.49,126.01,121.76,136.32,128.75,104.5,95.93,85.76,68.65,91.83,123.24,78.38,100.24
"821 Furnitur dan bagiannya; selimut, kasur, barang pembuat kasur, bantal dan barang perabot sejenisnya",104.81,100.24,99.35,105.78,106.36,105.32,99.38,107.41,96.64,100.61,100.28,104.62,102.4
"831 Bagasi, koper, kotak rias, tas eksekutif, tas sekolah, tempat kacamata, tas teropong, tas kamera, tas alat musik, tas pistol, sarung dan wadah semacamnya; tas bepergian, tas makanan atau minuman, tas toilet",102.63,99.07,104.66,97.61,121.85,99.51,105.69,171.57,100.02,107.08,93.97,90.93,109.33
"841 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",99.32,105.84,105.66,105.43,106.87,90.95,93.2,96.75,97.8,101.84,102.07,107.88,100.51
"842 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",84.85,110.89,99.43,118.57,110.87,100.74,94.29,97.5,92.98,99.46,111.42,100.63,100.56
"843 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",95,102.69,112.45,103.59,93.81,88.17,112.94,85.62,86.04,94.12,86.37,105.97,96.82
"844 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",102.32,112.02,104.35,108.17,110.09,97.16,96.76,98.46,86.2,87.89,106.76,96.49,100.38
"845 Pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak, tidak dirinci",60.67,105.52,105.44,111,95.22,104.78,102.08,103.4,100.82,104.34,100.58,100.52,98.89
"846 Aksesoris pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak (selain untuk bayi)",102.4,110.91,92.74,99.95,97.46,93.16,91.9,97.15,100.03,84.07,94.75,97.27,97.08
848 Artikel dari pakaian dan aksesori pakaian selain dari kain tekstil; tutup kepala dari semua bahan,109.26,114.29,108.16,107.65,107.93,114.1,116.93,136.34,149.02,158.92,169.91,179.04,137.39
851 Alas kaki,101.17,107.89,105.76,107.24,108.38,108.78,105,105.08,82.07,101.8,99.49,98.59,102.8
"872 Instrumen dan peralatan, tidak dirinci, untuk tujuan medis, bedah, perawatan gigi atau kedokteran hewan",107.71,122,114.41,94.06,103.6,98.64,108.63,100.73,109.28,115.22,101.85,118.19,108.03
"873 Meter dan counter, tidak dirinci",107.59,125.74,103.31,113.1,190.16,140.35,130.32,130.32,105.28,102.6,100.52,104.17,120.63
"884 Barang-barang optik, tidak dirinci",95.07,103.41,112.78,102.27,111.99,88.48,98.03,99.67,112.73,119.55,103.93,90.18,103.68
"893 Barang dari plastik, tidak dirinci",82.05,108.32,89.48,93.52,87.82,101.48,96.52,90.88,96.08,95.11,90.61,99.9,94.36
"894 Kereta bayi, mainan, game dan barang olahraga",97.96,100.42,90.8,92.57,85.91,80.15,80.65,78.71,87.42,89.5,91.66,92.37,88.84
"895 Persediaan kantor dan alat tulis, tidak dirinci",110.89,99.2,103.71,101.46,111.06,84.91,71.91,103.3,92.06,102.9,105.4,104.6,99.79
"897 Perhiasan, emas dan perak, dan barang lainnya dari bahan mulia atau semi mulia, tidak dirinci",88.92,88.88,92.71,88.18,80.73,90.51,103.32,155.31,163,91.77,103.13,97.27,119.76
"898 Alat musik dan bagian dan perlengkapannya; rekaman, kaset dan suara atau mirip rekaman lainnya (tidak termasuk barang dari kelompok 763 dan 883)",106.12,105.44,109.68,104.82,119.72,97.16,103.98,107.58,110.19,112.67,105.32,186.75,115.4
"899 Aneka macam barang produksi yang terpisah, tidak dirinci",100.86,114.06,93.91,116.91,102.06,100.37,98.18,88,88.81,94.31,106.6,101.74,100.24
"971 Emas, non-moneter (tidak termasuk bijih emas dan konsentrat)",116.3,119.34,117.83,122.8,129.88,133.49,144.73,157.83,158.58,154.84,153.37,149.9,134.39
TOTAL EKSPOR,92.6,94.16,90.46,87.71,84.51,80.46,85.69,89.14,90.38,92.67,97.96,101.6,91.17
