Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
022 Susu dan krim dan produk susu selain mentega atau keju,97.7,100.64,97.39,83.69,80.33,97.64,92.63,114.53,113.02,105.25,103.74,101.63,106.6
"034 Ikan, segar (hidup atau mati), dingin atau beku",98.99,104.29,102.52,101.25,100.98,103.61,103.08,104.25,105.7,103.59,108.24,98.13,102.81
"036 Krustasea, moluska dan invertebrata air, berkulit maupun tidak, segar (hidup atau mati), dingin, beku, kering, asin atau dalam air garam; krustasea, berkulit, dikukus atau direbus, dingin atau tidak , beku, kering, asin atau dalam air garam",94.97,94.41,95.54,96.13,98.75,97.28,103.32,99.77,100.58,97.15,96.12,102.16,98.14
"037 Ikan, krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan, tidak dirinci",93.82,91.56,103.61,93.86,87.32,84.62,84.57,90.49,89.49,92.49,90.53,87.71,90.99
048 Olahan sereal dan olahan tepung atau pati dari buah atau sayuran,89.12,89.95,96.75,97.75,93.18,92.61,99.74,97.76,99.58,97.86,98.53,100.08,96.64
"054 Sayuran, segar, dingin, beku atau hanya diawetkan (termasuk sayuran polongan kering); akar, umbi-umbian dan produk nabati lainnya yang dapat dimakan, tidak dirinci, segar atau kering",102.48,99.22,97.79,122.17,124.57,102.71,104.16,107.06,103.43,97.46,92.69,102.97,105.18
"056 Sayuran, akar dan umbi-umbian, diolah atau diawetkan, tidak dirinci",88.45,98.1,96.02,100.55,126.61,110.89,108.16,94.22,92.25,93.98,104.62,103.57,101.67
"057 Buah dan kacang-kacangan (tidak termasuk kacang minyak), segar atau kering",73.29,75.8,74.35,80.78,78.4,81.94,92.99,99.64,99.39,107.19,108.82,101.01,90.9
"058 Buah, diawetkan, dan olahan buah (tidak termasuk jus buah)",84.8,84.36,88.76,89.7,96.84,97.76,102.47,106.85,108.52,115.94,120.64,120.24,102.62
"061 Gula, molase dan madu",85.88,91.17,88.56,86.71,112.27,110.86,106.76,106.28,120.77,119.47,121.38,120.14,108.81
062 Gula hias,99.73,98,100.47,92.87,99.78,99.53,95.83,101.05,101.71,101.43,102.83,104.75,99.85
072 Kakao,111.09,109.6,107.97,99.06,101.76,99.99,100.57,98.03,96.8,96.2,95.32,100.24,101.19
"073 Coklat dan makanan olahan lainnya yang mengandung kakao, tidak dirinci",96.59,97.36,106.44,96.17,100.84,100.04,97.06,88.2,89.73,88.74,96.67,90.9,95.67
074 Teh dan mate,91.7,96.84,97.22,103.08,92.72,94.8,94.87,94.14,88.34,84.45,83.64,88.86,92.38
075 Bumbu-bumbu,86.45,89.07,84.84,91.24,105.79,104.91,94.07,99.27,99.91,102.4,95.86,93.09,95.93
081 Bahan pakan untuk hewan (tidak termasuk sereal tidak digiling),102.77,91.14,87.32,93.26,89.99,87.38,88.52,89.21,87.1,82.09,85.43,84.61,88.89
091 Margarin dan mentega,78.02,84.7,79.9,85.02,82.69,85.44,80.29,84.67,89.77,90.6,100.11,113.48,88.08
"098 Produk dan olahan yang dapat dimakan, tidak dirinci.",81.83,88.19,80.28,110.33,104.46,101.07,91.41,104.31,106.85,110.91,112.97,113.81,101.86
"111 Minuman non-alkohol, tidak dirinci.",91.13,96.07,88.3,98.69,85.2,96.58,93.66,88.23,90.32,95.46,108.92,102.63,94.22
"122 Tembakau, dipabrikasi (ada atau tidak mengandung pengganti tembakau)",96.26,96.5,85.6,97.64,88.52,93.38,96.03,95.63,93.33,88.09,95.82,96.61,93.53
"231 Karet alam, balata, getah perca, guayule, chicle dan sejenis getah alam, dalam bentuk asal (termasuk lateks) atau pelat, lembaran atau strip",87.98,90.48,93.4,98.74,104.8,105.36,107.19,106.89,102.64,100.72,99.57,105.67,100.82
"232 Karet sintetis; karet reklamasi; limbah, reja dan skrap dari karet yang tidak dikeraskan",93.66,89.5,91.87,94.38,100.85,101.28,96.18,99.16,92.4,95.93,94.08,99.74,95.84
"248 Kayu, dikerjakan sederhana, dan bantalan rel kereta api dari kayu",110.42,113.4,107.49,103.15,105.79,101.23,106.26,102.02,101.69,100.24,100.16,100.87,104.35
251 Bubur dan limbah kertas,96.18,96.84,94.3,95.36,93.21,87.55,81.13,78.24,75.15,74.76,78.26,69.59,84.73
263 Katun,60.42,63.88,66.8,64.26,61.96,72.09,88.44,92.77,90.84,93.95,84.71,118.97,76.22
"273 Batu, pasir dan kerikil",102.31,96.94,95.49,96.98,98.73,107.19,100.13,100.01,104.28,105.02,100.97,104.6,101.12
283 Bijih tembaga dan konsentratnya; Mate tembaga; tembaga semen,65.72,68.4,59.37,62.25,-,-,48.76,-,80.35,90.5,74.45,107.95,77.44
"288 Limbah logam dasar dan skrap selain besi, tidak dirinci",91.69,92.61,83.9,81.91,75.3,68.8,74.65,75.06,86.68,91.07,88.12,99.15,83.74
"292 Bahan nabati mentah, tidak dirinci",94.12,90.78,91.65,100.47,105.1,105.3,106.9,102.73,98.05,101.99,108.6,107.28,101.43
"321 Batubara, ditumbuk atau tidak, tetapi tidak diaglomerasi",91.4,90.73,89.52,94.05,92.71,89.76,79.79,78.86,75.92,79.95,79.11,85.91,85.83
"322 Briket, lignit dan gambut",77.52,74.04,78.1,83.14,90.26,91.11,83.09,78.05,83.72,89.24,90.48,105.8,85.07
"333 Minyak petroleum dan minyak yang diperoleh dari mineral mengandung bitumen, mentah",94.75,101.52,107.27,109.17,99.36,96.05,84.33,88.07,87.4,75.19,109.47,130.54,100.46
"343 Gas alam, cair atau tidak",139.51,132.82,115.1,106.05,91.29,93.66,96.49,92.23,83.65,78.51,88.62,79.81,102.23
"422 Lemak dan minyak nabati tertentu, minyak mentah, halus atau difraksinasi, selain lunak",73.73,76.86,78.45,78.37,77.77,78.21,80,83.23,89.15,92.26,101.42,116.81,87.16
"431 Lemak dan minyak hewani atau nabati, diproses; lilin; campuran atau olahan dari lemak atau minyak hewani atau nabati tidak dapat dimakan, tidak dirinci",80.37,82.99,79.03,79.11,82.95,79.41,80.22,82.99,84.23,85.3,89.25,93.19,83.53
