Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
,2016,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
022 Susu dan krim dan produk susu selain mentega atau keju,103.77,104.97,102.46,30.62,83.79,18.62,108.86,124.89,106.82,113.05,120.8,108.43,95.82
"034 Ikan, segar (hidup atau mati), dingin atau beku",94.74,94.5,93.18,95.52,97.23,97.71,99.54,98.71,102.05,99.57,101.89,98.46,97.81
"036 Krustasea, moluska dan invertebrata air, berkulit maupun tidak, segar (hidup atau mati), dingin, beku, kering, asin atau dalam air garam; krustasea, berkulit, dikukus atau direbus, dingin atau tidak , beku, kering, asin atau dalam air garam",87.23,90.63,93.28,93.45,99.87,100.67,101.8,101.72,99.54,98.96,99.08,94.73,96.83
"037 Ikan, krustasea, moluska dan invertebrata air lainnya, diolah atau diawetkan, tidak dirinci",72.63,75.05,77.25,71.55,72.7,70.99,72.99,82.54,86.6,82.56,87.54,84.24,78.19
048 Olahan sereal dan olahan tepung atau pati dari buah atau sayuran,108.19,109.75,100.07,116.12,109.32,99.06,107.8,112.77,112.54,114.76,109.46,110.82,109.46
"054 Sayuran, segar, dingin, beku atau hanya diawetkan (termasuk sayuran polongan kering); akar, umbi-umbian dan produk nabati lainnya yang dapat dimakan, tidak dirinci, segar atau kering",87.62,86.39,88.39,100.83,90.76,79.43,73.79,94.5,102.94,97.59,98.72,90.34,93.7
"056 Sayuran, akar dan umbi-umbian, diolah atau diawetkan, tidak dirinci",92.22,83.74,83.11,109.02,94.51,122,116.33,98.39,98.81,101.32,89.31,96.4,99.28
"057 Buah dan kacang-kacangan (tidak termasuk kacang minyak), segar atau kering",69.53,74.18,77.72,94.75,94.23,97.31,104.2,105.93,114.23,125.55,120.67,114,100.22
"058 Buah, diawetkan, dan olahan buah (tidak termasuk jus buah)",31.3,31.32,39.75,35.17,42.4,39.11,47.97,42.16,43.51,54.07,43.35,49.81,42.94
"061 Gula, molase dan madu",112.89,88.48,108.91,104.38,132.98,113.66,118.97,142.97,122.55,124.85,117.73,124.37,122.46
062 Gula hias,97.47,95.7,95.78,89.92,92.29,94.74,93.51,93.44,94.86,103.79,99.15,92.36,95.37
072 Kakao,145.19,137.79,126.57,116.63,123.13,119.2,123.06,123.28,125.96,123.05,119.16,122.39,125.29
"073 Coklat dan makanan olahan lainnya yang mengandung kakao, tidak dirinci",91.4,90.59,67.68,84.36,93.63,96.65,86.95,84.99,82.9,92.26,90.87,86.47,87.49
074 Teh dan mate,100.34,100.2,96.68,101.9,99.78,100.69,99.78,100.85,91.41,96.82,104.12,94.79,98.96
075 Bumbu-bumbu,88.69,97.36,90.09,92.68,103.78,111.88,120.19,125.12,118.86,135.19,126.48,106.91,113.48
081 Bahan pakan untuk hewan (tidak termasuk sereal tidak digiling),84.28,70.41,68.88,74.78,62.77,107.44,82.26,70.82,66.09,74.21,90.24,61.58,76.66
091 Margarin dan mentega,80.61,85,78.54,95.87,91.82,110.91,96.35,105.41,105.02,123.03,124.01,139.46,105.79
"098 Produk dan olahan yang dapat dimakan, tidak dirinci.",81.72,88.89,78.03,94.1,84.02,107.79,91.9,96.69,89.92,96.78,108.23,103.86,94.2
"111 Minuman non-alkohol, tidak dirinci.",103.14,97.6,96.1,113.73,85.64,92.8,85.67,87.06,83.74,101.05,103.14,103.2,95.95
