Kode SITC 3 digit (2018=100),,,,,,,,,,,,,
,Indeks Unit Value Ekspor Bulanan menurut Kode SITC 3 Digit (2018=100),,,,,,,,,,,,
"122 Tembakau, dipabrikasi (ada atau tidak mengandung pengganti tembakau)",108.34,89.4,92.8,88.23,96.74,98.78,97.8,97.6,97.16,97.07,102.6,104.36,97.9
"231 Karet alam, balata, getah perca, guayule, chicle dan sejenis getah alam, dalam bentuk asal (termasuk lateks) atau pelat, lembaran atau strip",79.68,74.41,74.24,83.9,98.07,97.48,94.66,96.38,96.67,99.16,106.15,119.43,95.16
"232 Karet sintetis; karet reklamasi; limbah, reja dan skrap dari karet yang tidak dikeraskan",71.08,74.8,75.79,86.68,94.74,91.17,68.26,94.61,88.59,96.45,98.95,110.92,91.81
"248 Kayu, dikerjakan sederhana, dan bantalan rel kereta api dari kayu",94.31,95.22,94.27,84.59,82.8,80.99,80.06,81.99,80.8,80.54,86.3,79.51,85.04
251 Bubur dan limbah kertas,81.91,79.52,76.32,72.87,69.25,69.08,66.62,65.46,60.96,63.08,72.25,75.07,71.44
263 Katun,77.67,71.68,64.4,63.01,65.92,118.04,82.85,79.58,177.8,118.6,123.8,132.16,107.56
"273 Batu, pasir dan kerikil",102.47,100.27,100.28,95.96,96.5,35.66,99.95,98.05,99.19,98.73,94.97,94.08,92.59
283 Bijih tembaga dan konsentratnya; Mate tembaga; tembaga semen,61.15,59.23,47.12,54.47,58.23,65.88,72.91,76.49,76.03,81.16,90.77,108.44,74.97
"288 Limbah logam dasar dan skrap selain besi, tidak dirinci",66.44,63.9,59.35,57.25,51.98,49.85,56.58,56.42,67.08,66.83,75.08,82.26,63.38
"292 Bahan nabati mentah, tidak dirinci",69.65,79.07,72.19,68.2,81.27,76.2,83.98,79.37,75.65,79.03,86.47,91.57,78.9
"321 Batubara, ditumbuk atau tidak, tetapi tidak diaglomerasi",62.1,59.87,58.25,59.03,60.33,57.08,55.46,56.29,60.4,67.13,76.25,88.72,64.69
"322 Briket, lignit dan gambut",66.19,63.29,63.72,64.42,67.87,63.14,60.22,58.11,73.81,80.69,88.51,107.39,74.99
"333 Minyak petroleum dan minyak yang diperoleh dari mineral mengandung bitumen, mentah",75.12,70.88,70.68,49.93,47.99,58.11,59.83,59.62,54.78,55.43,71.12,79.31,63.12
"343 Gas alam, cair atau tidak",85.38,81.72,79.81,64.76,59.98,61.2,60.24,65.83,62.14,69.42,64.84,67.44,69.07
"422 Lemak dan minyak nabati tertentu, minyak mentah, halus atau difraksinasi, selain lunak",53.2,52.32,55.93,63.8,67.56,70.5,76.02,80.31,87.3,92.01,102.15,104.72,78.73
"431 Lemak dan minyak hewani atau nabati, diproses; lilin; campuran atau olahan dari lemak atau minyak hewani atau nabati tidak dapat dimakan, tidak dirinci",79.48,74.01,57.32,82.06,94.49,100.32,97.27,101.82,119.98,112.01,118.03,122.98,101.24
"511 Hidrokarbon, tidak dirinci, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",65.68,65.74,84.91,60.96,84.15,81.28,80.21,80.44,89.86,87.46,94.04,100.92,84.02
"512 Alkohol, fenol, fenol-alkohol, dan halogenasi daripadanya, disulfonasi, dinitrasi atau turunan dari nitrosasi",50.45,51.9,60.22,68.62,79.54,85.37,85.2,83.88,93.87,97.88,101.5,107.77,83.35
"513 Asam karboksilat dan anhidrida, halida, peroksida dan asam peroksinya; halogenasi, sulfonasi, nitrasi atau turunan nitrosasi",46.42,51.78,57.82,71.21,87.97,97.9,106.47,95.05,102.75,112.11,106.94,122.19,92.65
514 Fungsi senyawa nitrogen,94.05,131.06,95.22,100.07,98.09,97.66,104.83,107.94,106.14,108.96,108.65,111.06,105.34
"515 Senyawa organo-anorganik, senyawa heterosiklik, asam nukleat dan garamnya, dan sulfonamid",99.62,88.53,118.58,90.51,99.61,114.74,119.19,124.54,129.54,136.81,131.77,130.71,118.08
"522 Unsur kimia anorganik, oksida dan garam halogen",96.61,94.33,96.62,100.86,96.97,92.69,96.67,85.62,76.58,64.48,57.28,73.04,88.26
"523 Garam dan garam peroksi, asam anorganik dan logam",90.54,83.51,89.42,74.89,80.39,90.5,75.24,78.27,76.49,75.12,77.51,74.45,80.47
"531 Bahan pewarna dan sejenisnya sintetis organik, dan olahan daripadanya",85.71,93.14,92.84,88.22,92.06,95.03,96.32,87.72,89.39,40.12,78.97,79.63,85.51
"533 Pigmen, cat, pernis dan bahan terkait",95.73,98.35,111.23,100.71,110.31,107.07,104.93,104.17,94.64,88.56,88.61,95.59,99.9
"553 Wewangian, kosmetik atau persediaan untuk toilet (tidak termasuk sabun)",89.22,90.73,89.67,120.43,112.76,97.51,137.67,110.79,90.5,94.2,98.85,112.32,102.95
"554 Sabun, pembersih dan alat untuk pembersih",90.65,92.15,68.27,90.39,75.14,74.94,91.12,96.56,116.11,101.18,113.25,105.7,93.2
562 Pupuk (selain yang dari kelompok 272),290.91,88.19,84.62,71.55,68.15,86.61,88.36,84.9,77.85,67.57,64,67.76,90.01
"574 Poliasetal, polieter lainnya dan resin epoksida, dalam bentuk asal; polikarbonat, resin alkid, ester polialil dan poliester lainnya, dalam bentuk asal",61.04,57.78,58.3,62.28,59.67,61.07,55.25,56.13,54.69,55.99,55.88,61.33,58.36
"575 Plastik lainnya, dalam bentuk asal",103.53,104.61,99.39,101.98,95.86,101.11,98.88,114.53,94.91,86.07,90.57,97.24,99.64
"582 Pelat, lembaran, film, foil dan strip, dari plastik",73.25,72.87,70.7,72.9,73.99,73.27,74.18,74.66,73.28,75.79,77.54,73.53,73.85
"583 Monofilamen yang ukuran penampang melebihi 1 mm, batang, tongkat dan bentuk profil, permukaan dikerjakan maupun tidak dikerjakan, dari plastik",156.35,159,128.14,139.54,157.03,136.3,152.14,144.06,134.43,111.33,120.62,124.94,138.43
"591 Insektisida, redontisida, fungisida, herbisida, produk anti-berkecambah dan pengatur pertumbuhan tanaman, desinfektan dan produk semacamnya, disiapkan dalam bentuk atau kemasan untuk penjualan eceran atau sebagai alat atau barang (misalnya, kelompok sulfur, sumbu",81.96,85.25,104.5,111.45,92.2,96.41,31.53,92.14,138.54,84.54,54.45,97.99,91.36
"592 Zat tepung (pati/kanji), inulin dan zat gandum; zat albumin; zat perekat",104.78,102.74,88.22,101.56,104.66,88.94,99.81,89.15,88.18,103.44,95.61,93.19,96.31
"598 Macam-macam produk kimia, tidak dirinci",95.2,80.06,208.33,99.49,69.61,41.09,48.38,54.31,104.39,78.96,102.69,70.83,87.13
611 Kulit,108.92,105.31,95.2,109.69,101.67,94.3,96.67,90.4,103.79,99.29,100.97,109.74,101.22
"625 Ban karet, tapak ban dipertukarkan, penutup ban dan ban dalam untuk roda dari semua jenis",103.09,101.56,101.33,100.36,99.59,95.55,97.3,96.3,96.45,98.77,98.9,98.6,99
"629 Barang dari karet, tidak dirinci",95.79,85.63,91.46,93.65,106.45,85.24,94.28,96.9,98.64,101.75,96.19,101.88,95.71
"634 Veneer, kayu lapis, papan partikel, dan kayu lainnya, bekerja, tidak dirinci",98.62,95.91,90.86,90.09,88.46,86.25,87.86,86.01,90.32,86.11,94.84,92.51,90.56
"635 Produsen kayu, tidak dirinci",112.69,100.73,101.38,97.83,97.39,100.54,96.76,99.81,101.4,94,95.92,96.92,99.66
641 Kertas dan kertas karton,83.69,81.73,81.11,80.86,80.64,86.4,84.35,86.25,86.59,87.08,88.64,86.6,84.49
"642 Kertas dan kertas karton, dipotong menurut ukuran atau bentuk, dan barang dari kertas atau kertas karton",87.11,86.91,86.48,91.7,89.31,87.41,84.86,88.14,84.61,79.61,81.72,82.59,85.96
651 Benang tekstil,91.55,89.08,85.76,85.65,86.49,86.63,86.28,87.19,89.11,87.47,88.28,89.64,87.71
"652 Kain katun, tenun (tidak termasuk kain sempit atau khusus)",110.66,97.64,97.96,97.94,101.19,86.5,92.1,88.69,99.29,90.78,85.3,91.66,95.35
"653 Kain, anyaman, dari bahan tekstil buatan manusia (tidak termasuk kain sempit atau khusus)",101.21,98.14,96.59,96.33,96.25,97.13,96.53,101.3,100.12,102.24,99.69,101.64,98.83
"655 Kain rajutan atau kaitan (termasuk tabung kain rajutan, tidak dirinci, kain berbulu dan kain kerawang), tidak dirinci",90.94,88.03,96.17,100.78,85.78,98.31,89.31,108.77,88.7,97.46,104.59,91.95,95.39
"656 Kain tulle, renda, bordir, pita, hiasan dan barang lainnya",109.55,220.39,212.82,156.67,185.24,136.68,125.82,105.16,137.51,176.65,130.35,80.93,160.15
"657 Benang khusus, kain tekstil khusus dan produk-produk terkait",100.39,105.76,96.26,94.23,93.87,95.98,93.03,94.5,90.72,98.45,100.46,97.02,96.62
"658 Barang yang dibuat, seluruhnya atau terutama dari bahan tekstil, tidak dirinci",88.23,88.21,91.35,93.78,83.49,87.84,84.78,90.05,94.61,92.11,91.98,93.5,90.08
"659 Penutup lantai, dll",97.75,93.94,96.65,94.75,89.45,106.18,116.9,109.13,97.98,100.06,97.87,94.26,99.07
"661 Kapur, semen, dan konstruksi fabrikasi bahan (kecuali bahan kaca dan tanah liat)",125.37,257.74,106.16,84.76,86.55,78.81,82.4,86.11,85.43,91.29,87.3,90,99.32
662 Bahan konstruksi dari tanah liat dan bahan konstruksi tahan api,77.91,153.96,80.92,79.96,68.38,68.52,70.89,68.86,80.56,72.93,72.4,79.02,81.23
"663 Produsen mineral, tidak dirinci",98.73,95.28,85.01,95.92,86.34,107.05,93.78,91.35,96.03,101.09,129.75,91.09,98.26
664 Kaca,102.8,99.99,101.15,102.22,90.27,96.29,99.33,100.27,94.94,96.87,97.53,96.79,98.08
665 Barang pecah belah,83.03,82.79,96.41,85.78,80.1,85.22,82.13,77.26,89.06,77.46,77.43,83.53,83.41
675 Produk gulungan datar dari baja campuran,34.62,24.04,27.75,25.93,40.13,42.53,39.22,44.46,37.6,42.71,40.99,55.53,38.82
"676 Jeruji besi dan baja, batang, ujung, bentuk dan bagian (termasuk lapisan tiang pancang)",67.91,72.35,44.93,68.5,68.97,72.55,78.49,81.76,78.49,68.28,72.77,68.5,74
678 Kawat dari besi atau baja,63.74,55.26,51.83,57.98,56.88,60.31,64.34,61.99,56.31,53.12,79.62,67.42,60.72
682 Tembaga,65.74,64.78,71.71,73.46,72.86,68.81,74.1,79.86,79.04,77.94,81.16,93.75,76.25
684 Aluminium,84.54,81.58,81.82,82.72,82.24,80.49,81.38,80.83,83.12,84.69,86.55,87.06,83.14
"691 Struktur dan bagian struktur, tidak dirinci, dari besi, baja atau aluminium",106.04,168.75,111.62,141.48,419.5,63.33,180.72,459.28,389.28,181.95,165.25,134.49,264.83
693 Produk kawat ( tidak termasuk kabel listrik terisolasi) dan pagar pemanggang,102.79,87.85,95.65,91.64,86.48,94.24,98.13,97.56,93.92,94.23,97.17,108.35,96.1
"694 Paku, sekrup, mur, baut, paku keling dan sejenisnya, dari besi, baja, tembaga atau aluminium",45.16,41.41,45.42,59.23,49.52,49.53,63.65,60.74,27.25,61.73,57.59,208.65,65.7
"697 Peralatan rumah tangga dari logam dasar, tidak dirinci",108.36,79.07,104.23,92.75,88.77,99.74,89.3,90.65,94.56,92.36,85.69,99.38,94.36
"699 Produk logam dasar, tidak dirinci",91.75,99,99.14,86.9,84.63,94.36,116.38,96.54,98.35,86.63,105.86,140.83,100.18
"713 Mesin internal pembakaran piston dan bagian-bagiannya, tidak dirinci",84.06,84.52,91.87,90.54,94.95,97.61,107.35,94.18,145.76,106.5,111.01,105.08,102.52
"742 Pompa air, ada atau tdk dilengkapi alat ukur, lift cair; bagian dari pompa dan lift",116.74,92.9,103.67,105.72,89.81,96.39,105.84,77.4,90.05,118.32,144.96,135.19,104.3
"743 Pompa (selain pompa air) udara atau gas lainnya, kompresor dan kipas angin; ventilasi atau penutup daur ulang dilengkapi dengan kipas angin, dilengkapi atau tidak dengan filter; sentrifugal, alat penyaringan atau pemurnian ; dan bagiannya",93.44,94.21,92.72,92.97,93.4,106.6,97.19,99.71,98.69,97.91,259.63,91.96,110.41
"747 Kran, kran, katup dan alat sejenis untuk pipa, ketel uap, tanki, tong atau sejenisnya, termasuk katup penurun tekanan dan katup termostaik yang dikendalikan",98.01,113.25,98.96,101.83,101.33,87.66,92.45,93.76,89.89,96.72,102.89,91.8,97.59
"748 Poros transmisi (termasuk camshaft atau crankshaffts) dan engkol, bantalan rumah dan poros polos; gigi dan gir, bola atau rol sekrup, kotak gir dan pengubah kecepatan lainnya(termasuk konverter torsi); roda gaya dan puli",84.44,79.69,82.24,86.94,110.21,81.56,86.82,81.1,88.32,97.81,88.58,97.52,88.75
751 Mesin kantor,76.42,43.15,72.65,199.38,51.4,85.42,65.19,120.82,96.49,190.75,116.41,62.32,104.1
"762 Pesawat penerima siaran radio, dikombinasi atau tidak, di pusat yang sama dengan alat rekaman suara atau jam",75.81,77.49,80.78,86.31,86.14,86.97,86.81,89.66,89.54,89.54,93.46,75.39,85.18
771 Mesin pembangkit listrik (selain pembangkit listrik di kelompok 76) dan bagiannya,106.26,91.85,100.44,99.49,106.2,104.42,98.41,96,100.78,108.77,100.87,68.61,98.27
"772 Alat listrik untuk berganti atau melindungi sirkuit listrik atau untuk membuat koneksi ke atau pada sirkuit listrik (misalnya switch, relay, sekring, penangkal petir, pembatas tegangan, penekan kenaikan tegangan, colokan dan soket, lampu pegangan dan junct",100.73,97.42,96.24,91,98.51,86.63,109.55,101.26,100.16,113.07,104.17,102.3,99.76
"773 Peralatan untuk menyalurkan listrik, tidak dirinci",88.92,87,92.95,86.47,82.12,225.41,84.4,82.34,86.99,93.32,116.67,83.6,103.28
"775 Peralatan elektronik atau non-elekronik rumah tangga, tidak dirinci",104.89,109.11,101.47,98.35,106.1,92.83,102.49,101.47,103.23,100.02,91.05,88.39,99.98
"778 Mesin dan peralatan listrik, tidak dirinci",100,97.35,89.75,60.97,88.18,88.94,88.64,84.8,88.29,93.64,86.69,88.75,87.99
"781 Mobil dan kendaraan bermotor lainnya yang terutama didesain untuk pengangkutan orang (selain kendaraan bermotor untuk pengangkutan sepuluh orang atau lebih, termasuk pengemudi), termasuk stasiun-wagon dan mobil balap",78.53,89.05,89.01,92.23,89.42,91.03,84.11,94.75,88.73,90.6,99.01,147.95,95.13
782 Kendaraan bermotor untuk pengangkutan barang dan kendaraan bermotor tujuan khusus,91.84,90.01,93.68,90.34,86.8,89.9,89.59,94.07,91.16,96.29,98.99,99.37,93.04
"784 Bagian dan aksesori kendaraan bermotor dari kelompok 722, 781, 782 dan 783",97.99,99.78,98.23,97.91,93.16,93.74,95.28,107.5,96.32,100.56,107.93,94.08,98.68
"785 Sepeda motor (termasuk moped) dan sepeda, bermotor dan tidak bermotor; gerbong yang tidak valid",91.08,91.24,97.79,102.58,101.75,94.51,105.63,100.96,103.51,109.17,98.54,100.99,99.72
"813 Perlengkapan dan peralatan pencahayaan, tidak dirinci",76.57,84.8,85.69,97.21,35.55,56.46,106.07,70.6,63.34,89.15,85.53,65.55,75.12
"821 Furnitur dan bagiannya; selimut, kasur, barang pembuat kasur, bantal dan barang perabot sejenisnya",90.48,88.8,90.57,89.89,91.51,90.64,90.14,90.56,88.26,90.6,86.77,90.29,89.88
"831 Bagasi, koper, kotak rias, tas eksekutif, tas sekolah, tempat kacamata, tas teropong, tas kamera, tas alat musik, tas pistol, sarung dan wadah semacamnya; tas bepergian, tas makanan atau minuman, tas toilet",80,71.42,81.8,70.65,76.01,77.16,95.28,84.32,83.64,85.44,81.31,79.33,80.05
"841 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",88.84,88.36,92.18,89.53,89.56,81.66,82.11,81.46,87.11,91.07,90.02,89.84,87.2
"842 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, bukan rajutan atau kaitan (selain dari subkelompok 845.2)",84.48,88.9,80.91,96.1,86.56,82.49,90.6,77.22,81.23,84.85,104.75,83.58,86.47
"843 Mantel pria dan anak laki-laki, jubah, jaket, jas, blazer, celana panjang, celana pendek, kemeja, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",80.49,72.18,80.48,74.83,76.41,70.86,85.01,73.56,73.46,91.3,96.96,91.5,80.4
"844 Mantel wanita dan anak perempuan, jubah, jaket, jas, celana panjang, celana pendek, kemeja, gaun dan rok, pakaian dalam, pakaian tidur dan barang semacam dari kain tekstil, rajutan atau kaitan (selain dari subkelompok 845.2)",76.34,81.09,76.6,81.8,76.03,77.71,67.23,66.01,67.37,72.06,93.15,73.96,76.09
"845 Pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak, tidak dirinci",79.65,83.63,79.42,83.36,82.76,84.78,80.95,81.18,86.43,79.69,88.79,84.78,83.12
"846 Aksesoris pakaian, dari kain tekstil, rajutan atau kaitan, ataupun tidak (selain untuk bayi)",104.92,117.32,113.31,116.29,113.94,97.03,92.5,89.86,103.43,98.34,95.82,94.07,103.07
848 Artikel dari pakaian dan aksesori pakaian selain dari kain tekstil; tutup kepala dari semua bahan,99.75,94.47,91.51,84.33,90.42,94.08,92.71,90.6,89.99,88.64,92.08,86.79,91.24
851 Alas kaki,90.93,90.81,90.22,91.65,94.01,93.21,94.47,95.12,102.99,101.35,99.66,99.24,95.34
"872 Instrumen dan peralatan, tidak dirinci, untuk tujuan medis, bedah, perawatan gigi atau kedokteran hewan",113.93,133.28,122.76,112.91,120.34,107.2,109.15,126.42,113.08,107.41,98.92,98.4,112.31
"873 Meter dan counter, tidak dirinci",165.45,167.25,147.31,136.75,128.46,121.91,173.53,115.45,104.66,121.33,113.14,107.38,131.97
"884 Barang-barang optik, tidak dirinci",111.59,76.62,95.85,94.28,93.35,90.6,86.86,86.47,99.91,101.25,99.58,92.48,93.75
"893 Barang dari plastik, tidak dirinci",99.2,108.26,100.56,97.01,83.44,107.73,97.93,87.32,106.72,104.37,89.94,94.62,98.28
"894 Kereta bayi, mainan, game dan barang olahraga",99.88,97.7,95.05,95.45,92.88,94.43,97.3,97.66,104.14,98.38,97.66,100.54,97.56
"895 Persediaan kantor dan alat tulis, tidak dirinci",90.54,83.57,88.11,87.24,96.47,93.89,87.33,93.59,90.64,111.37,108.94,103.82,94.08
"897 Perhiasan, emas dan perak, dan barang lainnya dari bahan mulia atau semi mulia, tidak dirinci",68.66,89.1,97.09,98.32,114.61,130.82,118.45,123.7,134.18,84.31,116.98,83.81,105.9
"898 Alat musik dan bagian dan perlengkapannya; rekaman, kaset dan suara atau mirip rekaman lainnya (tidak termasuk barang dari kelompok 763 dan 883)",63.13,99.22,102.44,99.57,99.24,95.25,102.52,96.59,96.64,97.11,98.18,163.61,100.26
"899 Aneka macam barang produksi yang terpisah, tidak dirinci",85.22,99.65,85.52,88.04,98.12,88.54,92.63,99.66,82.62,88.3,98.55,102.01,92.37
"971 Emas, non-moneter (tidak termasuk bijih emas dan konsentrat)",82.62,88.39,93.73,89.96,97.29,99.54,106.51,111.45,110.66,105.09,103,93.7,98.74
TOTAL EKSPOR,77.05,75.94,76.54,78.28,78.34,76.59,78.62,81.9,84.86,86.94,91.64,92.45,81.98
